ABBREV,DISTRICT,SCHOOL_YEAR,DEMOGRAPHICS,MIGRATION,RETENTION,TRANSITION,CURRENT_YEAR_ENROLMENT
SD05,Southeast Kootenay,2015,-11,51,32,96,5339
SD05,Southeast Kootenay,2016,-23,27,22,49,5414
SD05,Southeast Kootenay,2017,-69,45,12,47,5449
SD05,Southeast Kootenay,2018,-20,23,6,86,5544
SD05,Southeast Kootenay,2019,-2,34,45,50,5671
SD05,Southeast Kootenay,2020,-33,-81,-18,9,5549
SD06,Rocky Mountain,2015,13,23,3,22,3069
SD06,Rocky Mountain,2016,-1,33,1,14,3116
SD06,Rocky Mountain,2017,42,39,-23,16,3189
SD06,Rocky Mountain,2018,37,60,-44,27,3269
SD06,Rocky Mountain,2019,53,-8,-3,0,3310
SD06,Rocky Mountain,2020,14,-7,-17,3,3303
SD08,Kootenay Lake,2015,-46,88,-115,26,4635
SD08,Kootenay Lake,2016,-16,124,-35,59,4767
SD08,Kootenay Lake,2017,-81,46,-36,77,4773
SD08,Kootenay Lake,2018,-79,14,-83,58,4682
SD08,Kootenay Lake,2019,3,42,-54,119,4792
SD08,Kootenay Lake,2020,-35,15,-106,17,4684
SD10,Arrow Lakes,2015,2,-12,-6,-2,440
SD10,Arrow Lakes,2016,-6,5,4,-1,442
SD10,Arrow Lakes,2017,-17,7,0,3,435
SD10,Arrow Lakes,2018,9,13,3,-4,456
SD10,Arrow Lakes,2019,4,-7,1,7,461
SD10,Arrow Lakes,2020,13,41,2,-3,514
SD19,Revelstoke,2015,-4,14,-11,-2,924
SD19,Revelstoke,2016,24,14,1,-8,955
SD19,Revelstoke,2017,-3,14,2,1,970
SD19,Revelstoke,2018,39,12,5,7,1033
SD19,Revelstoke,2019,27,-46,0,-6,1008
SD19,Revelstoke,2020,20,0,-3,-2,1022
SD20,Kootenay - Columbia,2015,-95,38,-4,35,3675
SD20,Kootenay - Columbia,2016,21,66,67,11,3839
SD20,Kootenay - Columbia,2017,7,25,72,2,3945
SD20,Kootenay - Columbia,2018,-10,33,-58,25,3935
SD20,Kootenay - Columbia,2019,10,39,-14,10,3980
SD20,Kootenay - Columbia,2020,4,-47,-15,-41,3881
SD22,Vernon,2015,-66,151,35,21,8185
SD22,Vernon,2016,-27,123,-20,13,8274
SD22,Vernon,2017,-14,132,-14,8,8385
SD22,Vernon,2018,-18,66,-6,-9,8418
SD22,Vernon,2019,2,85,5,15,8526
SD22,Vernon,2020,-69,56,-5,-21,8487
SD23,Central Okanagan,2015,-525,454,224,87,21643
SD23,Central Okanagan,2016,-297,485,221,12,22064
SD23,Central Okanagan,2017,-436,354,7,95,22083
SD23,Central Okanagan,2018,-135,367,362,3,22679
SD23,Central Okanagan,2019,-251,404,86,139,23057
SD23,Central Okanagan,2020,-201,407,-106,-18,23140
SD27,Cariboo - Chilcotin,2015,-18,-17,-8,31,4553
SD27,Cariboo - Chilcotin,2016,-19,21,-28,35,4563
SD27,Cariboo - Chilcotin,2017,11,39,-27,52,4638
SD27,Cariboo - Chilcotin,2018,9,32,-10,27,4696
SD27,Cariboo - Chilcotin,2019,6,-67,-29,-13,4592
SD27,Cariboo - Chilcotin,2020,-7,-141,-34,3,4413
SD28,Quesnel,2015,-76,45,9,27,3058
SD28,Quesnel,2016,-58,23,5,17,3044
SD28,Quesnel,2017,-86,-16,19,28,2990
SD28,Quesnel,2018,-17,-13,1,15,2976
SD28,Quesnel,2019,-6,29,-27,0,2972
SD28,Quesnel,2020,21,-39,-25,-2,2927
SD33,Chilliwack,2015,-148,373,68,24,12756
SD33,Chilliwack,2016,-113,357,141,32,13174
SD33,Chilliwack,2017,-123,280,93,-2,13422
SD33,Chilliwack,2018,-44,145,149,-3,13668
SD33,Chilliwack,2019,-238,255,163,4,13851
SD33,Chilliwack,2020,-134,114,218,-75,13974
SD34,Abbotsford,2015,-100,123,168,1,18947
SD34,Abbotsford,2016,6,259,235,-17,19431
SD34,Abbotsford,2017,-78,-70,86,-63,19307
SD34,Abbotsford,2018,-15,140,222,-25,19628
SD34,Abbotsford,2019,-93,196,-41,-80,19610
SD34,Abbotsford,2020,-21,-79,40,-122,19428
SD35,Langley,2015,55,399,-86,-27,19224
SD35,Langley,2016,245,420,4,27,19921
SD35,Langley,2017,96,347,-10,6,20360
SD35,Langley,2018,52,169,-14,-13,20554
SD35,Langley,2019,129,278,-29,-42,20890
SD35,Langley,2020,97,193,70,-80,21171
SD36,Surrey,2015,-363,886,-13,361,68378
SD36,Surrey,2016,-315,1317,-195,188,69373
SD36,Surrey,2017,57,842,-167,225,70331
SD36,Surrey,2018,-140,917,13,362,71483
SD36,Surrey,2019,-193,1513,-568,287,72522
SD36,Surrey,2020,-53,230,-932,169,71936
SD37,Delta,2015,-233,372,-70,57,15387
SD37,Delta,2016,-268,228,-73,63,15338
SD37,Delta,2017,-183,178,-67,79,15345
SD37,Delta,2018,-162,160,-69,79,15353
SD37,Delta,2019,-189,387,-110,50,15491
SD37,Delta,2020,-274,318,147,76,15759
SD38,Richmond,2015,-514,278,-7,-60,19876
SD38,Richmond,2016,-445,98,-57,-69,19403
SD38,Richmond,2017,-112,173,-102,-23,19339
SD38,Richmond,2018,-223,274,10,12,19412
SD38,Richmond,2019,-40,424,-98,-36,19662
SD38,Richmond,2020,-89,212,-55,-31,19698
SD39,Vancouver,2015,-593,388,-269,-156,49709
SD39,Vancouver,2016,-298,384,-107,-181,49507
SD39,Vancouver,2017,-370,312,-173,-144,49132
SD39,Vancouver,2018,-454,476,-59,-140,48955
SD39,Vancouver,2019,-275,478,-394,-86,48680
SD39,Vancouver,2020,-113,94,-131,-78,48451
SD40,New Westminster,2015,141,19,-26,9,6428
SD40,New Westminster,2016,150,-138,-16,0,6425
SD40,New Westminster,2017,182,31,-46,-34,6558
SD40,New Westminster,2018,176,-69,-37,-49,6578
SD40,New Westminster,2019,145,-153,-57,-29,6484
SD40,New Westminster,2020,111,-22,-40,-16,6517
SD41,Burnaby,2015,-311,299,57,31,23187
SD41,Burnaby,2016,-297,403,-9,27,23310
SD41,Burnaby,2017,-117,215,37,9,23454
SD41,Burnaby,2018,-245,151,94,-19,23434
SD41,Burnaby,2019,-139,508,46,26,23875
SD41,Burnaby,2020,-282,92,-60,18,23644
SD42,Maple Ridge - Pitt Meadows,2015,91,211,52,18,14028
SD42,Maple Ridge - Pitt Meadows,2016,-17,129,95,18,14253
SD42,Maple Ridge - Pitt Meadows,2017,-42,111,69,-3,14390
SD42,Maple Ridge - Pitt Meadows,2018,39,49,73,17,14568
SD42,Maple Ridge - Pitt Meadows,2019,71,64,133,11,14847
SD42,Maple Ridge - Pitt Meadows,2020,23,121,28,-10,15009
SD43,Coquitlam,2015,-438,573,197,39,30620
SD43,Coquitlam,2016,-638,336,230,43,30591
