SCHOOL_YEAR,LAST_YEAR_ENROLMENT,C_STU_CG_LAST_YR,C_STU_CG_THIS_YR,C_STU_RG_LAST_YR,C_STU_RG_THIS_YR,ENTER_ADD_LEARNING,EXIT_ADD_LEARNING,PROV_NET_RETENTION,FORECAST_ENROLMENT
2015,521744.4,442262.3,-439891,4437.7,-7699.7,2247.3,-2183.3,-827,526434.3
2016,526434.3,445628.7,-443319.2,4495.4,-7277.3,2275.8,-2247.3,-444,532115.5
2017,532115.5,451871.2,-449978.4,4289.3,-7585.7,2135.6,-2275.8,-1544,537085.9
2018,537085.9,457780.8,-455133.3,4160,-7024.2,2152.1,-2135.6,-200,542650.4
2019,542650.4,463368.6,-462522.1,3959.6,-6450,2183,-2152.1,-1613,547861.3
2020,547861.3,466066.6,-466344,3753.9,-5924.4,2547.8,-2183,-2083,547632.7
