SCHOOL_YEAR,DISTRICT,NEW_KINDERGARTEN,GRADUATES,NET
2018,51,81,-89,-8
2019,51,83,-91,-8
2020,51,70,-81,-11
2015,52,158,-162,-4
2016,52,121,-165,-44
2017,52,142,-137,5
2018,52,124,-113,11
2019,52,127,-161,-34
2020,52,116,-151,-35
2015,53,138,-193,-55
2016,53,170,-183,-13
2017,53,145,-186,-41
2018,53,153,-184,-31
2019,53,162,-185,-23
2020,53,146,-195,-49
2015,54,144,-207,-63
2016,54,129,-153,-24
2017,54,128,-162,-34
2018,54,130,-170,-40
2019,54,138,-144,-6
2020,54,112,-131,-19
2015,57,947,-1040,-93
2016,57,957,-1013,-56
2017,57,956,-1051,-95
2018,57,973,-1048,-75
2019,57,919,-932,-13
2020,57,903,-938,-35
2015,58,147,-144,3
2016,58,147,-154,-7
2017,58,142,-142,0
2018,58,136,-149,-13
2019,58,130,-133,-3
2020,58,118,-151,-33
2015,59,287,-272,15
2016,59,276,-271,5
2017,59,262,-227,35
2018,59,282,-254,28
2019,59,277,-247,30
2020,59,257,-235,22
2015,60,489,-242,247
2016,60,471,-346,125
2017,60,507,-303,204
2018,60,519,-330,189
2019,60,494,-362,132
2020,60,486,-342,144
2015,61,1446,-1379,67
2016,61,1435,-1359,76
2017,61,1469,-1197,272
2018,61,1503,-1307,196
2019,61,1465,-1383,82
2020,61,1462,-1512,-50
2015,62,768,-448,320
2016,62,757,-500,257
2017,62,846,-560,286
2018,62,831,-569,262
2019,62,856,-709,147
2020,62,883,-607,276
2015,63,423,-484,-61
2016,63,389,-470,-81
2017,63,474,-432,42
2018,63,448,-466,-18
2019,63,487,-503,-16
2020,63,509,-514,-5
2015,64,132,-157,-25
2016,64,109,-124,-15
2017,64,109,-123,-14
2018,64,105,-116,-11
2019,64,91,-148,-57
2020,64,86,-114,-28
2015,67,354,-439,-85
2016,67,350,-519,-169
2017,67,351,-514,-163
2018,67,373,-516,-143
2019,67,341,-533,-192
2020,67,365,-511,-146
2015,68,979,-916,63
2016,68,1050,-962,88
2017,68,1023,-844,179
2018,68,1063,-828,235
2019,68,1056,-973,83
2020,68,1069,-901,168
2015,69,262,-224,38
2016,69,278,-306,-28
2017,69,279,-254,25
2018,69,301,-281,20
2019,69,282,-246,36
2020,69,293,-223,70
2015,70,271,-303,-32
2016,70,279,-263,16
2017,70,219,-314,-95
2018,70,259,-288,-29
2019,70,272,-300,-28
2020,70,272,-282,-10
2015,71,549,-465,84
2016,71,613,-518,95
2017,71,620,-419,201
2018,71,600,-455,145
2019,71,631,-485,146
2020,71,708,-510,198
2015,72,380,-401,-21
2016,72,419,-405,14
2017,72,365,-418,-53
2018,72,414,-452,-38
2019,72,422,-403,19
2020,72,401,-427,-26
2015,73,983,-1280,-297
2016,73,1056,-1204,-148
2017,73,1090,-1171,-81
2018,73,1040,-1115,-75
2019,73,1129,-1109,20
2020,73,1072,-1085,-13
2015,74,84,-72,12
2016,74,70,-80,-10
2017,74,90,-67,23
2018,74,68,-63,5
2019,74,81,-64,17
2020,74,65,-69,-4
2015,75,473,-360,113
2016,75,462,-355,107
2017,75,467,-362,105
2018,75,465,-349,116
2019,75,471,-360,111
2020,75,526,-337,189
2015,78,102,-103,-1
2016,78,126,-102,24
2017,78,100,-100,0
2018,78,109,-98,11
2019,78,128,-117,11
2020,78,107,-113,-6
2015,79,513,-546,-33
2016,79,562,-567,-5
2017,79,531,-455,76
2018,79,616,-505,111
2019,79,576,-575,1
2020,79,573,-561,12
2015,81,49,-39,10
2016,81,60,-62,-2
2017,81,57,-44,13
2018,81,47,-46,1
2019,81,54,-40,14
2020,81,33,-36,-3
2015,82,257,-344,-87
2016,82,273,-390,-117
2017,82,278,-318,-40
2018,82,313,-279,34
2019,82,292,-268,24
2020,82,228,-306,-78
2015,83,435,-510,-75
2016,83,445,-475,-30
2017,83,424,-456,-32
2018,83,444,-449,-5
2019,83,460,-512,-52
2020,83,479,-437,42
2015,84,32,-28,4
2016,84,33,-24,9
2017,84,23,-34,-11
2018,84,17,-27,-10
2019,84,22,-38,-16
2020,84,20,-51,-31
2015,85,78,-82,-4
2016,85,92,-79,13
2017,85,79,-85,-6
2018,85,75,-88,-13
2019,85,69,-101,-32
2020,85,60,-82,-22
2015,87,14,-16,-2
2016,87,9,-8,1
2017,87,12,-16,-4
2018,87,9,-11,-2
2019,87,11,-10,1
2020,87,10,-5,5
2015,91,264,-256,8
2016,91,215,-308,-93
2017,91,240,-271,-31
2018,91,203,-236,-33
2019,91,207,-259,-52
2020,91,193,-244,-51
2015,92,34,-22,12
2016,92,26,-9,17
2017,92,28,-15,13
2018,92,30,-24,6
2019,92,24,-20,4
2020,92,25,-21,4
2015,93,586,-137,449
2016,93,622,-161,461
2017,93,639,-148,491
2018,93,635,-162,473
2019,93,656,-194,462
2020,93,654,-187,467
2015,99,37943,-40764,-2821
2016,99,38671,-40721,-2050
2017,99,39152,-39786,-634
2018,99,39175,-39974,-799
2019,99,39694,-40487,-793
2020,99,38793,-39421,-628
