SCHOOL_YEAR,DISTRICT,NEW_KINDERGARTEN,GRADUATES,NET
2015,5,406,-417,-11
2016,5,391,-414,-23
2017,5,381,-450,-69
2018,5,392,-412,-20
2019,5,427,-429,-2
2020,5,392,-425,-33
2015,6,255,-242,13
2016,6,225,-226,-1
2017,6,249,-207,42
2018,6,244,-207,37
2019,6,235,-183,52
2020,6,233,-219,14
2015,8,286,-332,-46
2016,8,316,-332,-16
2017,8,287,-368,-81
2018,8,312,-391,-79
2019,8,302,-299,3
2020,8,285,-320,-35
2015,10,25,-23,2
2016,10,24,-30,-6
2017,10,23,-40,-17
2018,10,39,-30,9
2019,10,37,-32,5
2020,10,36,-23,13
2015,19,63,-67,-4
2016,19,83,-59,24
2017,19,67,-70,-3
2018,19,107,-68,39
2019,19,97,-70,27
2020,19,84,-64,20
2015,20,256,-351,-95
2016,20,325,-304,21
2017,20,286,-279,7
2018,20,304,-314,-10
2019,20,310,-300,10
2020,20,289,-285,4
2015,22,550,-616,-66
2016,22,570,-597,-27
2017,22,587,-601,-14
2018,22,590,-608,-18
2019,22,605,-603,2
2020,22,561,-630,-69
2015,23,1518,-2043,-525
2016,23,1573,-1870,-297
2017,23,1497,-1933,-436
2018,23,1648,-1783,-135
2019,23,1661,-1912,-251
2020,23,1678,-1879,-201
2015,27,312,-330,-18
2016,27,315,-334,-19
2017,27,345,-334,11
2018,27,343,-334,9
2019,27,342,-336,6
2020,27,296,-303,-7
2015,28,220,-296,-76
2016,28,204,-262,-58
2017,28,203,-289,-86
2018,28,188,-205,-17
2019,28,216,-222,-6
2020,28,193,-172,21
2015,33,881,-1029,-148
2016,33,907,-1020,-113
2017,33,939,-1062,-123
2018,33,987,-1031,-44
2019,33,955,-1193,-238
2020,33,915,-1049,-134
2015,34,1454,-1554,-100
2016,34,1515,-1509,6
2017,34,1433,-1511,-78
2018,34,1484,-1499,-15
2019,34,1414,-1507,-93
2020,34,1399,-1420,-21
2015,35,1410,-1355,55
2016,35,1536,-1291,245
2017,35,1497,-1402,95
2018,35,1485,-1433,52
2019,35,1586,-1457,129
2020,35,1534,-1437,97
2015,36,4885,-5248,-363
2016,36,5014,-5329,-315
2017,36,5166,-5109,57
2018,36,5056,-5196,-140
2019,36,5047,-5240,-193
2020,36,4888,-4941,-53
2015,37,1020,-1253,-233
2016,37,1014,-1282,-268
2017,37,982,-1165,-183
2018,37,978,-1140,-162
2019,37,1010,-1198,-188
2020,37,957,-1231,-274
2015,38,1287,-1801,-514
2016,38,1256,-1700,-444
2017,38,1452,-1564,-112
2018,38,1376,-1599,-223
2019,38,1536,-1576,-40
2020,38,1354,-1443,-89
2015,39,3559,-4151,-592
2016,39,3654,-3952,-298
2017,39,3626,-3996,-370
2018,39,3477,-3931,-454
2019,39,3516,-3791,-275
2020,39,3478,-3591,-113
2015,40,557,-416,141
2016,40,559,-409,150
2017,40,543,-361,182
2018,40,580,-404,176
2019,40,529,-385,144
2020,40,530,-419,111
2015,41,1641,-1952,-311
2016,41,1729,-2026,-297
2017,41,1815,-1932,-117
2018,41,1705,-1950,-245
2019,41,1795,-1934,-139
2020,41,1693,-1975,-282
2015,42,1067,-976,91
2016,42,1034,-1051,-17
2017,42,1124,-1166,-42
2018,42,1123,-1084,39
2019,42,1134,-1063,71
2020,42,1222,-1199,23
2015,43,2115,-2553,-438
2016,43,2007,-2645,-638
2017,43,2111,-2645,-534
2018,43,2052,-2665,-613
2019,43,2181,-2691,-510
2020,43,2136,-2633,-497
2015,44,1138,-1119,19
2016,44,1087,-1158,-71
2017,44,1170,-1132,38
2018,44,1078,-1166,-88
2019,44,1123,-1106,17
2020,44,1097,-1081,16
2015,45,372,-605,-233
2016,45,379,-587,-208
2017,45,388,-611,-223
2018,45,384,-677,-293
2019,45,382,-673,-291
2020,45,386,-586,-200
2015,46,217,-227,-10
2016,46,242,-231,11
2017,46,238,-228,10
2018,46,241,-211,30
2019,46,242,-205,37
2020,46,219,-191,28
2015,47,140,-123,17
2016,47,140,-96,44
2017,47,122,-74,48
2018,47,155,-129,26
2019,47,184,-94,90
2020,47,232,-155,77
2015,48,397,-286,111
2016,48,431,-332,99
2017,48,398,-300,98
2018,48,450,-376,74
2019,48,376,-341,35
2020,48,363,-358,5
2015,49,20,-14,6
2016,49,18,-12,6
2017,49,10,-12,-2
2018,49,15,-9,6
2019,49,13,-13,0
2020,49,17,-10,7
2015,50,32,-39,-7
2016,50,38,-52,-14
2017,50,30,-39,-9
2018,50,16,-53,-37
2019,50,27,-33,-6
2020,50,25,-27,-2
2015,51,82,-75,7
2016,51,85,-79,6
2017,51,88,-85,3
