Abbrev,District,SD05,SD06,SD08,SD10,SD19,SD20,SD22,SD23,SD27,SD28,SD33,SD34,SD35,SD36,SD37,SD38,SD39,SD40,SD41,SD42,SD43,SD44,SD45,SD46,SD47,SD48,SD49,SD50,SD51,SD52,SD53,SD54,SD57,SD58,SD59,SD60,SD61,SD62,SD63,SD64,SD67,SD68,SD69,SD70,SD71,SD72,SD73,SD74,SD75,SD78,SD79,SD81,SD82,SD83,SD84,SD85,SD87,SD91,SD92,SD93
SD47,Powell River,0,0,0,0,0,0.9375,1,0,1,1,3,1,0,2.25,7,0,2,0,1,3,6,0,0,3,0,0,0,0,1,2,0,2,1.625,0,2,2,0,2,0,0,34.125,5.9375,1,0,3,2.25,0,0,0,0,0,0,8,1,0,1.375,0,0,0,3
SD48,Sea to Sky,0,3,1,1,0,6.0625,4,0,1,3.0625,0,7.125,1,0,10,1,0,2.0625,1,9,4,3,14,0,0,0,0,0,0,1,0,0,5.0625,0,1,2,1,6.1875,2.875,2,16.75,1,10,0,2,0,2,0,4.0625,0,4,0,1,1,0,0,0,0,0,2
SD49,Central Coast,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.125,0,0,1,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,4,0,1,0,0
SD50,Haida Gwaii - Queen Charlotte,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,2,0,1,4,0,0,1,0,0,0,0,0,1,0,0,7.75,0,3,0,0,0,0,3.0625,0,0,1,0,0,0,0,0,0,1,0,0
SD51,Boundary,3,0,2,1,0,4,0,1,1,1,2,2,0,0,0,0,0,0,0,0,0,1.125,0,0,0,0,2,0,1,1,0,0,0,0,0,0,2,2,0,0,5,0,3,2,0,0,2,0,3,0,2,0,0,0,0,0,0,6.625,0,0
SD52,Prince Rupert,0,0,0,0,0,3,0,0,0,0,0,4.3125,0,0,3,0,3,0,2,1,0,0,0,0,4.0625,0,0,0,3,0,0,0,1,0,0,0,1,4.1875,0,1,2,0,8,0,0,0,2,12.8125,0,0,1,3.25,2,3.0625,0,0,0,4,4.875,0
SD53,Okanagan Similkameen,0,1,0,2,1,24.25,0,2,2,3,1,2,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,6.125,3,1,0,0,0,0,27,1,0,0,9,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,4,0,0
SD54,Bulkley Valley,1,0,3,0,1,0,2,1,3,0,2,3,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,7,0,0,0,0,0,2,0,0,1,0,0,8,0,5,1,1,0,0,10,0,0,8,0,1,9.125,0,0,4,12,0,4
SD57,Prince George,2,1,1.0625,5.0625,14,20.0625,11.0625,13.1875,8.9375,2,1,17.125,5.9375,0,3,1,1,3,0,1,0,0,3,1,1,6.1875,1.1875,10.125,0,7.125,18.4375,23.0625,3.125,5,3,0,14.5625,5,5.1875,3,17,0,39.625,0,1,6,4.1875,10.125,8,0,95.8125,0,2,5,0,0,0,89.5,6,7
SD58,Nicola - Similkameen,0,0,0,1,6,7,5,0,8,0,3,2,0,0,1,0,0,0,1,0,0,0,0,1,0,0,4.125,0,3,0,1,2,0,0,0,0,8,1,0,0,1,1,12.875,0,0,0,0,1.25,2,0,2.125,0,2,5.125,0,0,1,7.25,0,0
SD59,Peace River South,1,0,0,0,4,0,6,2.125,8,1,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,12,2,0,29.5,2,0,4,0,0,4,5,0,9,0,7,1,4.125,0,2,2,1.125,0,8,0,0,2,0,1,0,4,0,0
SD60,Peace River North,0,0,0,4,7.0625,9.0625,4.125,4,1,2,0,4.25,1,0,1,0,0,1.125,0,1,0,0,0,0,0,1,0,2.125,12.125,1,39.875,0,8,7.375,0,1,6.125,12.9375,0.9375,3.0625,10.1875,0,13.125,0,1,0,4,7.0625,5,0,3,0,0,7.625,0,3.625,1,2.375,0,0
SD61,Greater Victoria,0,0,0,1,3,8,0,3,1,3,6,23,2,9,16,2,2.0625,3.0625,4.5,2,0,3.6875,3,0,1,0,3,0,2,0,0,2,0,215.0625,393.5,7.125,0,20.0625,6,3.75,53.5,10,6.0625,0,0,2,35.1875,1,1,0,5.375,0,7.0625,0,0,5.0625,0,0,0,4
SD62,Sooke,1,0,0,2,2,10.125,0,0,2.5,2.5,0,5.125,1,0,1.0625,0,10,2,2,0,1.125,0,3,1,0,1,0,0,5,0,2,1,97.3125,0,129.875,6.0625,3.125,10.1875,11,2.5,31.125,7.9375,2,0,1,0,42.6875,0,3,0,0,0,2,0,0,0,0,5.25,0,2
SD63,Saanich,0,1.125,3,0,0,3,0,0,0,2,0,1,2,2,5,0,0,5,1,0,0,1,5,0,0,1.9375,0,0,0,1,0.125,0,102.5,41.75,0,2,0,2,7,1,21.625,6,0,0,0,0,14.1875,0,1,0,1.5,0,0,0,0,1,0,4,0,0
SD64,Gulf Islands,0,0,0,0,0,0,0,1,1.125,0,2,2.0625,0,0,4,0,0,0,0,1,1,0,12.125,0,0,0,0,0,0,0,0,0,4.0625,2,16,0,1.0625,2.0625,2,0,11.0625,0,0,0,0,0,5.9375,0,1.0625,0,1.0625,0,0,1,0,0,0,3.5,0,3
SD67,Okanagan Skaha,1,0,1,2.25,5,36.875,1,4,3,2.125,1.125,1,0,0,2,0,3,1,5,3,0,0,2,0,0,0,26.125,0,7.25,4.625,3.125,4,3.125,2,2,0,0,2,0,1.125,8,5.125,5.25,3,2,0,6,1,0,0,2.125,0,4,8.3125,0,0,0,3.375,0,3
SD68,Nanaimo - Ladysmith,0,0,1,2,2,5.25,1,1,7.125,1,10.9375,4,2,0,12.25,2,6.125,2,3.3125,2,0,4,6,0,2,2,1,0,5,1,1,2,6.25,16.8125,3.375,3,3,0,39.3125,25.25,79.0625,19.125,1.75,0,0,0,32.25,4,3,19.0625,5,0,4,0,40.125,5.125,0,6.125,0,4
SD69,Qualicum,0,2,0,0,0,1,1,3,0,0,1,0,0,0,0,0,1.5,0,0,2,1,0,2,0,0,0,0,0,1,0,0,2,2,2,0,0,3,38.1875,0,4,44.75,9.1875,1,0,0,0,2,0,0,0,0,0,0,0,0,3,0,0,0,0
SD70,Alberni,0,0,2,2,0,0,1.125,1,0,3,0,1,0.625,0,1,0,1,2,0,1,0,0,4,2.0625,0,4,0,0,2,1,0,1,5.125,2,1,1,0,22.1875,15,0,66,10.125,2,0,0,0,2,0,0,1,0,0,5,2,2,3,0,1,0,0
SD71,Comox Valley,1,0,3.375,5.875,1,0,1,0,7,5,7,5.375,0,0,3.0625,0,2,0,3,1,0,0.25,147.5625,14.1875,0,0.25,1,9,3,0,0,0,7,10.1875,3.25,6,7.5,20.3125,10,12.125,0,23.1875,1,0,2,0,17.9375,0,5,3,0,0,2,7.375,1,5.375,0,4.25,0,2
SD72,Campbell River,2,0,2.0625,0,0,3,3,2,3,0,2,3,0,0,1,1,0,0,0,0,0,0,17.125,1,1,0,1,1,3,0,0,5,4.1875,8.0625,2,1,1.125,19.9375,3,4,56.9375,0,0,0,2,0,5,0,1,7.3125,2,0,5,0,9,7,0,2.0625,0,7
SD73,Kamloops - Thompson,7,4,2.125,1,16.125,21.75,14,2,3,13,9,11,1,1.875,4,1,0,4,6,2.125,0,2.125,2,4,0,1,1,3,15.125,33.625,6,3,3,8,2.125,0,10.125,3.125,4,3.125,26.875,9,0,9,4,1,3,0,43.25,0,7.125,2,1,30.875,0,0,0,9.875,2,6
SD74,Gold Trail,0,0,0,5,0,1,9.9375,3,0,1,2,1,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,1,6.8125,0,2,0,2,0.625,0,1,1,0,0,1,0,27.75,0,0,2,2,0,1,1,3,0,0,0,0,0,0,1,0,0
SD75,Mission Public,3,0,0,1,0,6,4,1,17.875,56.1875,10.5,20,1,0,4,0,0,20.25,3,0,0,0,4,0,0,0,5,1,1,2.25,0,0,1,1,0.25,0,0,5,3,0,6.875,0,7,2,0,3.125,2,0,2,0,5.125,0,2,5,0,0,0,3,0,1
SD78,Fraser - Cascade,0,0,0,0,2,0,0,1,44,8,0,1,0,2,2,1,1,0,1,1,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,4,0,0,0,1,0,11,2,8,0,2,0,2,0,2,0,0,3,0,0,0,2,0,0
SD79,Cowichan Valley,0,2,0,4,0,1,2,1.125,3,0,2,2,4.0938,1.1875,8.125,0,0,1,0,0,0,0,3,0,1,1,0,0,3,1,0,1.125,19.4688,32.8438,29.5,6,0,63.375,2,5.25,34.5001,2,3,0,1,0,0,0.25,4.0625,0,6,0,2,1,1,0,0,2,0,0
SD81,Fort Nelson,0,0,0,0,0,1,1,1,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,2,0,4,18.125,0,0,0,0,0,0,2,1,3,0,0,1,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0
SD82,Coast Mountains,0,0,3,2,1,3,2,1,5,3,0,1,0,2.125,2,0,1,1,0,1,1,2,0,0,0,12,2.75,8,24,2,3,2,2,2,5.875,0,1,4,1,0,4,6,1,1,0,0,0,0,2,0,15.375,14,3,1.5,0,0,7,10,11,0
SD83,Okanagan - Shuswap,3,3,2,2,39.1875,30.1875,2.6875,0,5,2,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,8.5,1.0625,1,0,1.125,2,0,5.0625,0,1,0,23.125,3,42.375,1,0,0,1,0,0,0,9.25,0,0,0,1,0,0,1.5,0,0
SD84,Vancouver Island West,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1.25,0,0,0,0,1,0,0,0,15,2.25,5.125,9.875,5.125,0,0,0,0,2,0,0,0,0.5,0,0,0,0,0,0,0,0,0
SD85,Vancouver Island North,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,2,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,3,5,1,0,1,3,2,3,50.75,13,3,0,0,0,3,0,0,1,3,0,0,0,2,0,0,0.25,0,0
SD87,Stikine,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
SD91,Nechako Lakes,3,0,4.125,1,8,7.25,3,4,2.0625,1,0,3.125,0.375,1.5,6,0,0,0.125,0,1.125,0,0,7,3,0,0,0,6,44.75,5,3,9.375,0,2.125,1,0,1,1,1.5,3,6.125,1.75,6,1,1,3,0,8.5,2.125,0,0,2,0,0,0,1,0,0,0,0
SD92,Nisga'a,0,0,0,0,0,0,1,0,0,0,0,3,0,1,1,0,0,0,0,0,0,0,0,0,0,3.25,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.25,0,0,0,0,0,0,0,0,0,2,0,0
SD93,Conseil Scolaire Francophone,4,0,27.375,3,0,13.25,0,0,9,5.1875,11.125,18.625,6,4,36.125,3.5625,6,3.25,17.1875,37,16,0,15,30,0,0,0,0,1,0,0,1,22,17,4.5,3,19.125,12.0625,0,9,35.75,7,15,0,10,0,3,6,0,0,0,0,0,2,0,0,0,0,0,0
