Abbrev,District,SD05,SD06,SD08,SD10,SD19,SD20,SD22,SD23,SD27,SD28,SD33,SD34,SD35,SD36,SD37,SD38,SD39,SD40,SD41,SD42,SD43,SD44,SD45,SD46,SD47,SD48,SD49,SD50,SD51,SD52,SD53,SD54,SD57,SD58,SD59,SD60,SD61,SD62,SD63,SD64,SD67,SD68,SD69,SD70,SD71,SD72,SD73,SD74,SD75,SD78,SD79,SD81,SD82,SD83,SD84,SD85,SD87,SD91,SD92,SD93
SD05,Southeast Kootenay,0,13.1875,22.625,2.125,6,4,0,0,2,0,0,2,0.4375,0,1,0,0,2,0,0,0,0,1,2,0,0,1,2,0,0,2,3,3,1,3,0,6,2,0,1,4,1,4,0,0,0,0,1.1875,2,0,9,0,0,1.5,0,1,0,2.125,0,0
SD06,Rocky Mountain,12,0,11,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5,0,0,0,0,1,0,0,1,3,2,0,4.875,0,4,1,0,0,1,1,1,0,3,0,7,3,0,0,0,1,0,13
SD08,Kootenay Lake,9.4375,3,0,34.3125,3.875,2,0,0,2,0,0,8,0,0,2.125,1,0,4.125,4,0,0,0,2,2,0,0,4,1,3,4.375,0,2,3,0,0,0,1.125,1,0,0,10.0625,0,3,0,0,0,0,1,4,0,0.875,0,1,0,0,0,0,3,0,2
SD10,Arrow Lakes,3,0,2,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,8.125,0,0,0,0,0,0
SD19,Revelstoke,0,0,0,5,1,4,0,1,0,1.1875,0,0,0,0,0,0,0,0,0,0,0,0,1,1.0625,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,2,0,5.0625,0,0,0,0,1,2,0,0,0,1,15,0,0,0,0,0,3
SD20,Kootenay - Columbia,6.625,0,29.25,0,2,8,0,0,4.875,0,0,2,0,0,1,1,0,0,0.875,0,0,0,0,0,0,0,1,0,3,0.875,0,0.875,0,2.75,4,0,1,2,1,0,35.625,3,2,0,1,0,3,0,2,0,5.375,0,0,0,0,0,0,4.375,0,1
SD22,Vernon,0.75,1,1,0,0,37.875,6,3,2,0,0,3,0,0,2.125,1,1,2,3,0.5,0,0,3,1,2,0,2.125,0,5.875,1.125,3.125,3,2,6,1.25,0,2,2,0,1,5,3.125,21,1,0,0,0,2,37,0,3,0,3,67.3125,0,0,0,8.125,0,1
SD23,Central Okanagan,1.125,4,7.875,6,37,0,9,2,6,12.125,6,18,6,4,12.5,0,1,3,7,6,1,4,3,1,0,3,6,0,16,13.625,4.125,3,3,8,7.5,0,62.25,9,3,0,25.25,3,14.75,2,1,2,4,1,22,0,20.25,0,2,20.125,0,0,0,14.125,1,14
SD27,Cariboo - Chilcotin,0,1,0,0,1,4.875,0,7,1,0,0,6.375,3,2,3,0,0,3,2,0,0,1,0,5,0,2,0,3,15,2,2,4,0,2,2,0,4,3,0,0,5,1,19.5,1,1,0,0,4,8.125,0,7.625,0,2,5,0,1,0,2,0,0
SD28,Quesnel,0,0,0,0,3,2,7,0,2,1,1,0,0,0,1,0,0,0,0,1,1,1,4,0,0,3,1,0,18,1.125,2,8,0,3,7.25,0,1,0,1,1,7,0,8,2,0,0,0,1,3.25,0,14.5,0,0,5,0,0,0,11.125,0,0
SD33,Chilliwack,0,1.1875,4,1,10.125,12.125,12.1875,6,0,72.875,11.1875,24.5,3,0,5.5,0,2,5,5.0625,1,0,6,15,0.5625,0,0,3,0,8,4,0,9.25,2,0,9,0,0.0625,6,2,3.625,38,1,18,8,17.25,29.1875,1,1,10.0625,0,21.1875,0,0,17.0625,4,0,0,4.3125,0,2
SD34,Abbotsford,2,0,1.125,1,5,10.125,5,9,117.625,0,112.375,50.125,8,0,9,4,2,16.125,9.25,0,0,4.1875,6,1,0,1,4,0,2.5625,7.625,3,2,4,6,4,0,4,11,4,2.25,13,0,14.125,2,76.1875,12.25,5,2,19,0,7.75,0,4,13.125,1,4,0,9.75,2,2
SD35,Langley,3,0.875,1,2,8.25,26.5,1,4,50,82.25,0,123.6875,24,8,9.0625,2,20,40,24,3,4,3,6,1,0,0,1,0,1,6.125,0,1,7,3,11.375,0,10.125,14.375,3,3,42.875,1,19,1,34,7,5,2,5,0,12.25,0,0,10.5,0,1.5,0,8.5,0,4
SD36,Surrey,1,4.125,8.5,5,12,37,13,7.1875,108.0625,145,365.625,0,264.6875,38.0625,115.25,22.25,61.125,87.25,68.25,9,3,11,20,6.9375,3,1,16,0,13.0625,6.5,3,12,8,6,17.125,0,5.25,24,11,4,62.625,12.1875,23,0,50.875,10.125,6.125,3,8,1,31.0625,0,5,12,0,0,0,23.125,0,9
SD37,Delta,0.75,0,0,2,4.125,4,2,1,18,7,29.75,156.625,0,15.375,15.25,6,23,5.75,17.75,2,0,3,1,0,0,0,1,0,2.625,0.625,0,0,6.375,3.875,7,1,3,7.75,2,0,3.5,2,4,0,1,2,0.625,2,1,0,30.25,0,4,6,0,0,0,32.25,0,3
SD38,Richmond,0,0,0,0,0,7,0,0,0,5,13.1875,74.1875,60.75,0,134.6875,7,16.375,5,23.125,6,10,3.0625,7,0,0,0,1,0,1,0,0,0,4,2,2.625,2,0,6,3,0,12.375,0,7.75,0,1,0,1,0,1,0,23.5,0,2,0,0,1,0,9.75,0,1
SD39,Vancouver,0,0,4.75,2,0,17,1,0,17,14,41,164.3125,53.125,113.3125,0,26.875,211.25,28.9375,97.3125,68.75,39,12,40,23,0,4,4.875,0,2.375,2.5,0,1.25,28.6875,4,7,12,10.875,11,11,2.125,43.75,4,11,3,6,1,0.875,5,1,4.125,35.3125,6,12.8125,4.125,0,3,0,17.1875,1,20.125
SD40,New Westminster,1,0,0,0,0,1,1,0,0,4.9375,13.1875,47.25,13,8.0625,24.375,0,41.25,15.9375,41,4,2,0,7,0,0,1,1,0,0,0,0,1,2,0,2,1,0,3,0,2,0,0,1,0,0,0,2,2,2,0,1,1,0,1,0,0,0,1,0,1
SD41,Burnaby,3,0,2,3,2,14.0625,0,0,15.5625,17.125,55.0625,142.6875,25.6875,23.6875,125.25,47.8125,0,54.0625,194.1875,17.0625,24.25,1,10,9,0,1,0,0,2.375,1,2,0,5,3,4,3,0,8,2,0,25.3125,0,9.125,0,3,1,1.0625,2,1,0,9.25,3,4,4.125,0,0,0,2.375,0,3
SD42,Maple Ridge - Pitt Meadows,1,0,1,1,4,8,3,0,14.125,12,24,20.125,8.875,2.125,15,1,15,0,71.875,2,3,3,6.875,2,0,0,3,0,1,1,0,1.125,1,2,8,0,7,3,3,0,10.375,2,10,2.125,42.875,0,3,0,6,0,12.375,0,4,6,0,0,0,4,0,3
SD43,Coquitlam,0,0,4.25,0,14,16,4,0,27.25,20.25,61.25,64.25,14,8,47.625,8,81.375,151,0,12.125,13,5,14,3,9,0,2,0,2,1.75,2,8.375,7,7,12.875,4,1,3,6,3,38.375,1,11,0,16,1,6.125,0,5,0,8,3,1,4,1,0,0,1.125,0,10
SD44,North Vancouver,0,3.75,1.75,2,2.875,11.5625,2,0,3,3,7,19.0625,8.625,0,22.8125,4.0625,27.875,13,21.75,0,87.6875,6,11,16.375,0.875,0,1,0,2.625,0,0,0,4,1,6.5,1,3.75,7,3,0,40.25,1,4.125,2,0,1,1,0,2,0,5.625,0,3,0,1,0,0,4.5,1,0
SD45,West Vancouver,2.25,0,0,0,3,5,1,0,3,2.8125,4,11,10.875,3.125,32.5625,0,22.125,3,14.125,52.9375,0,0.625,36,9.9375,0,0,0,0,0.75,2,0,2,3,2.0625,4.125,0,1,3,4,0.875,13.5,0,0,0,0,0,0,0,0,0,5.75,0,1,1,0,0,0,0.875,0,1
SD46,Sunshine Coast,0,0,0,0,1,1.875,2,0,4,4.5,3.125,0,0,0,6.125,0,3,4.125,2.875,6,0,0,14,2.875,0,0,6,1,1,0,0,1.125,0,0,4,0,0,2,1,0,22.875,2,4,0,1,1,0,1,5.375,0,0,0,1,4,0,0,0,1.5,0,4
