Abbrev,District,SD05,SD06,SD08,SD10,SD19,SD20,SD22,SD23,SD27,SD28,SD33,SD34,SD35,SD36,SD37,SD38,SD39,SD40,SD41,SD42,SD43,SD44,SD45,SD46,SD47,SD48,SD49,SD50,SD51,SD52,SD53,SD54,SD57,SD58,SD59,SD60,SD61,SD62,SD63,SD64,SD67,SD68,SD69,SD70,SD71,SD72,SD73,SD74,SD75,SD78,SD79,SD81,SD82,SD83,SD84,SD85,SD87,SD91,SD92,SD93,total_move_in,total_move_out
SD43,Coquitlam,1,0,0,0,0,0,0,6,0,0,4,13.125,19,81.125,18.625,15.125,80,47.75,155.25,57.5,0,15.625,7,2,0,2.25,0,1,0,0,0,2,1,0,0,1,3,0,2,1.25,1,5,6,0,3,4.0625,2,0,5,1,2,0,2,1,0,0,0,2,1,25,596.6875,682.25
SD44,North Vancouver,0,2,2.75,0,0,0,1,5,1,0,3,3.9375,1,20.125,4,2,57.25,6,27.75,2,23.125,0,53.8125,5.125,0,12.25,0,1,0,2.0625,0.125,0,1,0.125,0,1.8125,4.25,3,0,8,1.125,11,0,0,2.5,0,2,0,0,0,3,0,2,0,0,0,0,0,0,47.875,324,291.1875
SD45,West Vancouver,0,0,0,0,0,0,1,0,1,0,0,0,7,18,6.75,7.875,45.5625,11,11,3,13,86.125,0,1,1,18.125,0,0,0,0,0,0,0,0,0,0,2,0.625,0.125,1.125,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.125,256.4375,168.3125
SD46,Sunshine Coast,2,0,1,0,0,0,1,0,1,0,4,2,4,7.125,2,3,10,3,6,1,6,3,6,0,0,1,0,0,0,0,0.75,2,2,0,0,3,1,2,0,0,0,5,0,1,0,0,2,0,0,3,0,1,0,3,0,0,0,1,0,6,95.875,104.0625
SD47,Powell River,1,0,0,0,0,0,1,1,0,0,1,3.125,0,2,2.625,2,9,148,2.125,1,3,7,8,10,0,9.5,1,0,0,0,0,0,1,0,0,2,1,3.25,1,61.25,0,4,1,3,55.4375,4.25,1,0,1,3,0,0,1,0,0,2,0,5,0,29.5,392.0625,73.5
SD48,Sea to Sky,0,0,0,0,0,0,0,1,0,0,2,0,2,7.5,1,0,14.125,1,2,0,5.125,14.8125,7.0625,2,3,0,0,0,0,0,0,0,1,0,1,3,0,2,0,2,2.125,1,0,2,2.25,0,2,2,0,1,2.3438,0,0,0,1,0,0,2,0,26,115.3438,155.0625
SD49,Central Coast,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,15
SD50,Haida Gwaii - Queen Charlotte,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,2,2,2.0625,0,0,1,0,0,0,0,0,0,0,0,8.1875,0,1,0,0,0,0,0,0,0,0,0,0,0,2,2,1,1,0,1,0,0,0,2,0,0,4,0,0,0,0,33.25,32.125
SD51,Boundary,2,1,0,0,0,2,0,15,1,0,1,0,3,0,1,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,6,2,0,1,0,2,0,0,1,0,1,4,0,0,1,0,2,0,0,3.125,0,0,1,1,0,0,0,1,0,0,55.125,52.25
SD52,Prince Rupert,0,0,0,0,0,0,0,2,0,0,0,0,0,7,0,2,3.0625,0,0,3,0,2,0,0,0,0,0,7.125,0,0,0,0,10,0,0,4,0,1,0,0,0,3,0,2,0,0,0,0,0,0,1,0,11.875,0,0,1,0,1,3.125,0,64.1875,78.125
SD53,Okanagan Similkameen,0,3,0,1,2,1,0,18.125,1,2,2,3,1.125,7.875,2,0,2,0,1,3,1.25,0.75,0,0,0,2,0,0,4,0,0,0,4.0625,1,0,0,1,0,0,0,20.25,3,0,0,0,0,5.75,0,3,0,0,0,0,0,0,0,0,0,0,1,97.1875,106.9375
SD54,Bulkley Valley,1,0,0,0,0,0,0,5,1,0,5,3,0,1,0,1,4,0,0,0,1,0,0,1.125,0,0,0,1,0,2.125,0,0,5,1,0,0,1,0,0,0,1,2,0,1,0,0,3,0,0,0,0,0,16,0,0,0,1,14.125,0,0,71.375,76.125
SD57,Prince George,0,0,1,0,0,3,2.75,12,17.75,13,5.125,12,4,6.125,3.75,0,3,1,4.625,3,2,0.75,0,0,0,0,0,1,0,6,0,9,0,2,17.125,13.0625,0,3,0,0,10,8.875,0,1,3,7.125,15,0,7.5,4,0,4,21,5,2,0,1,55.75,0,8.375,299.6875,359.6875
SD58,Nicola - Similkameen,0,2,1,1.2813,3.375,0,7,6.375,4,0,17.5,4,8.625,4.125,0.75,3.75,2,0,1,0,2,0,3.75,0,3,0,1,0,1,0,8.125,0,3.0625,0,0,4.0625,0,0,0.25,1,10.5,3,0,1,0,1,26.375,3.125,3.125,1,0,0,0,0.625,0,0,0,3.125,0,1,147.9063,105
SD59,Peace River South,4,1,2,0,0,0,2,7,9,4,1.0625,0,0,2,2,0,2,0,0,2,0,0,0,0,0,0,1,0,0,0,0,1,10,1,0,15.3125,1,2,3,0,0,0,0,0,1,7.0625,2,1,0,3,0,1.75,0,1,0,0,0,1,0,0,90.1875,101.75
SD60,Peace River North,1,0,3,0,4,0,2,1,2.625,7,2.4375,3,4.25,7,1,0.5,1,0,4,0,7.75,2.0625,0,0,0,0,2,3,1,0,0,0,10.125,2.125,29.125,0,1,2,0,0,10,2,0,1,0,2.1875,4,0,1,3,6,13,0,3,0,1,0,0,0,0,150.1875,164.375
SD61,Greater Victoria,2,0,3,1,0,0,6,3.25,1,0,1,5,2,15,2,1,17,7,9.625,1,6,7,0,4,0,3.125,0,1,0,0,0,0,5.0625,0,0,0,0,91.25,103.75,10,3.125,19.375,11,5,14,4,9.875,0,1,1,19.125,0,2,1,0,9,0,2,0,39.5,449.0625,665.4376
SD62,Sooke,3,0,0,0,0,0,0,13,0,0,2.1875,4.5,3,13,0,0,4.875,2,3,0,7.75,6,1,2,0,2,0,0,1,0,0,3,8.0625,0,2,0,211.5,0,38,1,0,17,6.125,3.125,20,4.8125,8,0,0,0,33.8126,0,0,0,3,1,0,1,0,13.125,442.8751,282.25
SD63,Saanich,1,1,2.875,0,1,0,1,3.25,0,0,1,1,0.875,8.25,5.25,6.75,5.625,6,2,1,2,0,3.25,0,0,0,0,0,2.75,0,1,0,2.125,0,0,1.125,262.6251,42.25,0,12.9375,4.5,6,3.75,3,6.75,5,0,0,1,0,17.625,0,2.25,0,1,9.125,0,5,0,5.75,448.6876,212.5
SD64,Gulf Islands,3,0,0,0,0,0,0,0,1,0,5,0,1.5,0.875,0,1,6.125,2,3,1,1,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,11.1875,5,0.875,0,0,3,0,4,6,0,2,0,0,0,7.375,0,0,1,0,0,0,0,0,0,68.9375,206.875
SD67,Okanagan Skaha,0,1,2,1,0,4,6,24.125,9,5,8.125,11,9,15,2,1,5,0,2.25,1,5,0,1,0,1,2.1875,0,0,2,1,44,1,3,5.125,2.125,6,2,2.25,0,0,0,2,0,0,6,2,10,1,4,1,3.125,0,2,1,0,0,0,2,0,12,230.3125,199.0625
SD68,Nanaimo - Ladysmith,3,1,1,0,0,2.75,1,9,1,0,4.125,2,11,35.125,3.75,3,19,5,8,6,9,6.9375,4.875,2,11,7.125,1,0,0,1.1875,0,1,2,0,3.125,3.25,10.25,14.125,5,11,1.125,0,37.25,26,28.625,17,13,0,2,1,51.1251,0,1,7,14,6,0,1.125,1,38.125,454.0001,389.75
SD69,Qualicum,0,2,0,0,2,0,1,3,0,0,1,3,4,8,4,1,2,1,0,3,6.125,5,0,1,2,4,0,0,0,0,1,0,2,0,0,1,4.25,2.5,1.25,0,3,40.875,0,13,7.5,12.3125,1,0,0,5,5,0,0,1,0,5,0,2.125,0,0,160.9375,131.9375
SD70,Alberni,0,0,0,0,0,0,0,2,3,0,7,3,2,5,0,0,4.125,0,2,2,3,3,0.875,2,0,3,0,2,0,0.9375,0,1,1,0,1,2.125,8,5.125,4,0,0,19.25,11,0,13.25,15,2,0,1,1,5,0,0,0,1,4,0,2,0,9,150.6875,124.5625
SD71,Comox Valley,1,0.875,4.1875,1.125,0,12.625,16.375,5.25,4.125,0,6.3438,5.25,12,20.875,8,15.5,30.75,7.1875,3.625,8.25,15.875,4.6875,3,3.9375,29.625,21.125,0,1,1,3,2.0625,7,5,0.375,0,5.25,16.5,17.625,3.625,12.875,8.25,40.625,17.25,19.0625,0,60.3125,5,0,7.125,1,12.5,0,1.125,3.375,6.25,5,0,5,0,40,548.7813,305.25
SD72,Campbell River,0,0,0,0,0,0,2,3,5,6,2,1,0,3,0.75,0,0,2,2,6,1,0,0,3,2,0,1,3,1,0,0,0,5.0625,1.125,3,2.0625,3,4.75,6.125,0,1.125,9,1,7,35.375,0,0,0,1,0,4,0,1,0,9,25,0,1,0,5.5,168.875,203.9375
SD73,Kamloops - Thompson,9,6,2.75,0.25,6.25,3,17.125,30.125,27,7,15.3125,33.25,17,16.75,12.0313,5,10,3,6,18,8,4,1,6,0,4,0,1,3,2,2,2,19.125,25.5,6,7,4.5,2,3,0,12,2,2,3,13,0,0,23.8125,18,2,3.125,0,7,32.875,0,2,1,8.375,0,11,486.1563,339.8125
SD74,Gold Trail,0,0,0,0,0,0,3,0,4,0,2,0,2,1,0,0,2,1,1,0,2,1,0,0,0,2,0,0,0,0,0,0,1.875,8,1,0,0,0,0,0,1,0,0,0,0,0,19.875,0,0,7,0,0,0,1,0,0,0,1,0,0,61.75,63.8125
SD75,Mission Public,1,0,0,0,0,1,2,1,3,0,19.3125,78.875,26,48.25,5.875,0,7,5,4,51.375,14,0,0,2,0,2,0,0,0,0,4,2,0,1,0,0,1,0,0,0,0,1,0,0,1,0,2,0,0,8.125,1,1,0,3.125,0,0,0,1,0,3,300.9375,251
SD78,Fraser - Cascade,0,0,0,0,0,0,0,0,0,2,45.25,7,7,6,2,0,1,0,1,3,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,1,1.875,8.125,0,0,0,0,0,0,0,0,3,0,0,94.25,143.625
SD79,Cowichan Valley,1,4.875,0,0,0,2,0,8,0,3,2,1,5,12,4,0,1,0,1.125,2,1,0,1,3,0,4,0,2,0,0,1,0,3,3,2,6,28.4375,32.3125,11.125,8.1875,1,53.0625,7,7.25,10,2,4,0,0,1,0,0,1,0,1,4,0,4,0,2,250.375,211.2815
SD81,Fort Nelson,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,27.75
SD82,Coast Mountains,1,1,2,0,0,3,1,2,7.125,0,4,3,0,11,0,0,9.875,0,2.75,1,1,3,0,1,0,0,0,2,0,28.1875,0,4,11,0,2,1,1,1,0.25,0,0,3.25,1,0,0,5,7,0,0,0,3,0,0,1.9375,0,1,6,7.625,20.25,3,163.25,153.625
SD83,Okanagan - Shuswap,1.5,3,0,8.125,15,0,67.3125,20.125,5,5,17.0625,13.125,10.5,12,6,0,4.125,1,4.125,6,4,0,1,4,1,1,0,0,0,3.0625,0,9.125,5,5.125,2,7.625,0,0,0,1,8.3125,0,0,2,7.375,0,30.875,0,5,3,1,0,1.5,0,0,0,0,0,0,2,304,176.25
SD84,Vancouver Island West,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40.125,0,2,1,9,0,0,0,0,1,0,0,1,0,2,0,0,0,0,63.125,45.25
SD85,Vancouver Island North,1,0,0,0,0,0,0,0,1,0,0,4,1.5,0,0,1,3,0,0,0,0,0,0,0,1.375,0,4,0,0,0,0,0,0,0,1,3.625,5.0625,0,1,0,0,5.125,3,3,5.375,7,0,0,0,0,0,0,0,0,0,0,1,1,0,0,53.0625,92.375
SD87,Stikine,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,13,11
SD91,Nechako Lakes,2.125,1,3,0,0,4.375,8.125,14.125,2,11.125,4.3125,9.75,8.5,23.125,32.25,9.75,17.1875,1,2.375,4,1.125,4.5,0.875,1.5,0,0,1,1,6.625,4,4,12,89.5,7.25,4,2.375,0,5.25,4,3.5,3.375,6.125,0,1,4.25,2.0625,9.875,1,3,2,2,0,10,1.5,0,0.25,0,0,2,0,359.0625,195.125
SD92,Nisga'a,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,4.875,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,11,0,0,0,0,0,0,0,28.875,35.375
SD93,Conseil Scolaire Francophone,0,13,2,0,3,1,1,14,0,0,2,2,4,9,3,1,20.125,1,3,3,10,0,1,4,3,2,0,0,0,0,0,4,7,0,0,0,4,2,0,3,3,4,0,0,2,7,6,0,1,0,0,0,0,0,0,0,0,0,0,0,145.125,554.375
