Abbrev,District,SD05,SD06,SD08,SD10,SD19,SD20,SD22,SD23,SD27,SD28,SD33,SD34,SD35,SD36,SD37,SD38,SD39,SD40,SD41,SD42,SD43,SD44,SD45,SD46,SD47,SD48,SD49,SD50,SD51,SD52,SD53,SD54,SD57,SD58,SD59,SD60,SD61,SD62,SD63,SD64,SD67,SD68,SD69,SD70,SD71,SD72,SD73,SD74,SD75,SD78,SD79,SD81,SD82,SD83,SD84,SD85,SD87,SD91,SD92,SD93,total_move_in,total_move_out
SD05,Southeast Kootenay,0,25.375,10.75,2,4,3,0.8125,3.25,1,0,5,1,3,2,0,0,1.875,0,1.75,2,0.75,0,0,3,0,0,0,0,5.875,0,0,0,3,1,1,2,0,0,0,0,3,1,1,0,0,1,5,3,1,0,1,1,0,1,0,3,0,2,0,5,111.4375,102.75
SD06,Rocky Mountain,13.125,0,4.125,0,0,0,0,3,2.875,2,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,3,4,0,0,0,1.5,1.125,0,0,0,0,4,0,2.625,0,0,0,0,1,0,0,1,2,0,0,1,1,0,0,51.375,96.25
SD08,Kootenay Lake,17.625,8.125,0,8.5625,4,22.25,0,9.125,1,0,2,0,1,11.625,5,0,4,0,1,1.25,2,0,2.875,0,0,2,0,0,1,0,2.0625,0,1,0,0,6.1875,1,1,0,0,3.125,0,1,3,2.375,0,1,0,1,0,1,0,1,2,0,1,0,0,0,10.75,142.9375,104.6875
SD10,Arrow Lakes,0,0,0,0,0,1,0,5,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,2,0,0,0,2,0,0,16,28.3438
SD19,Revelstoke,0,1,0,0,0,0,2.125,8,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,0,1,0.125,0,0,0,0,0,0,0,0,0,0,0,1.875,0,2,0,0,0,0,0,0,3,0,0,0,0,0,2,27.125,63.25
SD20,Kootenay - Columbia,6,0,29.125,4,0,0,4,4,0,0,0,3,2,2.75,1,0,0,0,1.875,0,3.75,0.75,1.0625,1,0,2,0,0,2,2.375,0,0,5.25,1,0,1,0,1,0,0,1.125,0,0,3,6.6875,1.0625,1,1,0,0,1,0,4,2,0,0,0,1,0,7,107.8125,76.875
SD22,Vernon,5,6,4.0625,0,6.25,1,0,47.5,2,1,5,4,6,10,7,4,7,0,5,5,4.125,3.75,0,0,0,5,0,0,2,2,2,0,10,2.625,1,8,5.9375,0,0,0,2,2,0,0,1.125,0,9,1,6,0,0,3,4,56.25,0,0,0,8,0,0,264.625,225.75
SD23,Central Okanagan,6,7,4,0,9.375,7,27.125,0,9,3.125,16.375,15,28,55.125,11.25,0,13,0,14.125,16,19.125,8.875,4,3,1,6,0,1,15,0,6.4375,1,30.0625,10.875,9.25,12.3125,7.5,5,0.875,0,43.625,5,1,0,4,2,25.75,1,5,0,4,2,11,17.875,0,0,0,8.125,0,19.75,532.9375,407.75
SD27,Cariboo - Chilcotin,0,0,0,0,0,0,4,11,0,7,11,5,5,7,0,1,6,1,3,9,2,0,0,2,0,3,0,0,0,0,5.375,1,14.3125,5,4,5,0,0,3,0,6.25,2,0,0,1.125,2,38,13,6,1,1,0,3,5,0,1,0,3,0,0,197.0625,169.5
SD28,Quesnel,0,0,1,0,0,0,2,2,16,0,7.0625,8,0,3,5,0,0,0,1,5.375,0,0,0,1,2,0,1,0,0,3,1,0,16.125,1,2,7,1,2,0,0,1,5.125,3,1,0,0,5,3,6.375,0,0,0,3,1,1,2,0,3.375,0,2,124.4375,90.25
SD33,Chilliwack,2,0,0,0,0,0,7,12,5,2,0,125.0625,53.875,102.9375,9,4,16,6.0625,6,28.25,24,4,4,2.125,1,3.125,1,0,0,1,0,3,6,8.625,0,4.125,3.625,0,0,0,3,1,0,0,4.25,0,2.375,1,20.125,60.25,2,1,6,2,3,2,0,8.25,0,12,573.0625,365.9063
SD34,Abbotsford,6,0,2,0,2,1,1,11.125,4,1,53,0,72,113,16,8,9.125,6,14,18,16.375,1,0,2,0,1,0,0,0,0,5,0,8,3,1,2.125,4.125,2,2,1,4.25,1,5.5625,1,1,0,14,0,76.5,7,3,0,0,2,0,0,0,5,0,4,510.1875,600.5625
SD35,Langley,1,0,0,0,0,0.875,4,2.75,0,3,26.1875,86.4375,0,314.0625,17.375,13,25.5,10,46.25,28,49.875,11,7,5.125,1,2,0,0,1,0,0,0,3.375,2,1,0.9375,6.5,2.625,0.25,0,1,4,0,0,5,1,6,0,14,10,2,0,4,3.125,0,0,0,5,0,10,737.25,579.5
SD36,Surrey,1.125,1,8,0,0,0,9,18.125,5,0,20.6875,69.625,135.125,0,183.5,93.875,212.875,66,137.125,20,83.125,18.875,2,9,2,12,0,0,0,1.125,1,0,11.125,0,3,12,9.125,7.0625,4,1,5,9,0,2,12,5.25,11,6,12,4,5.125,0,1,3,1,0,0,2,1,42.25,1279.125,1754.3125
SD37,Delta,1,0,0,0,0,0,1,7,4,0,2.0625,7,28.625,344.5,0,48.125,49.25,8,22.125,5,16.75,6,0.875,1,0,1,0,4,0,0,2,0,4,1,0,0,5,2.25,3,0,6.5,7,3,1.125,0.25,1,5,0,2,0,0,0,0,0.625,0,0,0,5.125,0,15,621.1875,460.5313
SD38,Richmond,1.25,0,1,0,0,0,0,0,3,0,0,1,5,52.5625,19,0,116.25,8,33.125,0,11,7,2,1,0,1,0,0,0,2,0,0,4,0,0,2,10.25,2,2,3,1,7,3,0,1.125,1,2.0625,1,0,0,0,0,4,0,0,0,0,3,0,12,322.625,412.5625
SD39,Vancouver,0,1,3.0625,0,1,0,7,14,1,3,4.1875,7,12,104.25,19,118.8125,0,29,130,10,52.75,25.75,24.75,5,3,7.25,1,0,1,0,2,0,8.125,1.25,0,2,10.3125,3,5,55.625,5.25,8,2,1,4.125,5.4375,6,0,2,1,4,0,4,0,1,0,0,2,2,49.875,769.8125,1131.75
SD40,New Westminster,0,0,0,0,0,0,1,3,0,0,0,2,3,27,5,9.875,30.75,0,72.375,2,16.875,4,1,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,1,5,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,2,194.875,487.3125
SD41,Burnaby,0,0,3,0,0,1,0,4,1,0,6.1875,11,15,60.25,12,20.625,213.3125,73.25,0,17.25,94.625,13.9375,12.25,3.125,1.5,1,0,0,1,0,0,0,6.125,0.875,0,0,9,5,0,3.125,4.125,8.125,0,0,3,2,2,0,1,0,2,0,1.875,1.9375,1,2,0,1,5,7,631.5,801.875
SD42,Maple Ridge - Pitt Meadows,0,0,1,0,0,0,5,7.125,0,0,6,16.5,29,106,12,5,18,16,35.5,0,118,7,0,3,2,2,0,0,0,0,5,0,0,0,0,1,0,0.875,0,0,1,2.8125,0,0,1,3,3,0,22.125,4.125,0,0,2,0,0,0,0,1,0,7.875,443.9375,361.25
