Abbrev,District,SD05,SD06,SD08,SD10,SD19,SD20,SD22,SD23,SD27,SD28,SD33,SD34,SD35,SD36,SD37,SD38,SD39,SD40,SD41,SD42,SD43,SD44,SD45,SD46,SD47,SD48,SD49,SD50,SD51,SD52,SD53,SD54,SD57,SD58,SD59,SD60,SD61,SD62,SD63,SD64,SD67,SD68,SD69,SD70,SD71,SD72,SD73,SD74,SD75,SD78,SD79,SD81,SD82,SD83,SD84,SD85,SD87,SD91,SD92,SD93,total_move_in,total_move_out
SD05,Southeast Kootenay,0,12,9.4375,6.625,0.75,1.125,0,0,0,2,3,1,0.75,0,0,1,3,1,0,0,2.25,0,0,0,0,0,0,1,2,0,1,0,0,1,0,0,1,0,0,0,1,2,7,0,3,0,0,0,3,0,3,0,4,1,0,3,0,2,0,5,83.9375,108.1875
SD06,Rocky Mountain,13.1875,0,3,0,1,4,1,0,1.1875,0,0.875,4.125,0,0,0,0,0,0,0,3.75,0,0,0,3,0,0,1,0,1,0,0,0,0,0,1.125,0,0,0,2,0,0,0,4,0,0,0,2,0,3,0,0,0,0,2,0,0,1,1,0,0,53.25,80.875
SD08,Kootenay Lake,22.625,11,0,29.25,1,7.875,0,0,4,1.125,1,8.5,0,0,4.75,0,2,1,4.25,1.75,0,0,0,1,0,0,0,3,1.0625,0,0,0,0,0,3,0,1,1,0,2,3.375,2.0625,2.125,0,0,0,0,3,2,0,4.125,0,27.375,2,0,1,0,0,0,10.75,170,122.3125
SD10,Arrow Lakes,0,0,6.5,6,1,7,0,2,0,1,2,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,2,0,0,1,0,0,1,1,0,2,0,0,0,0,1,0,0,0,8,0,1,0,0,2,0,0,0,2,0,0,53.5,24.125
SD19,Revelstoke,2,0,0,0,0.625,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,6,0,0,0,6,3,0,0,0,0,0,2,26.625,47.3125
SD20,Kootenay - Columbia,2.125,0,34.3125,0,0,6,0,0,1,1,2,5,2,0,2,0,3,1,0,2,0,0,0,1,0,0,2,0,5.0625,1,0,4,1,2,0,0,2.25,2,0,2,5.875,0,1,5,1,0,4,2,2,0,1,0,3,2,0,0,0,1,0,7,118.625,129.5
SD22,Vernon,6,1,3.875,2,0,37,1,3,10.125,5,8.25,12,4.125,0,0,0,2,4,14,2.875,3,1,0,0,0,0,1,1,14,6,4,7.0625,3,2,0,0,5,2,0,0,1,0,16.125,0,0,2,0,1,39.1875,0,8,0,0,56.25,0,0,0,8,0,0,296.875,251.3125
SD23,Central Okanagan,4,4,2,8,37.875,0,4.875,2,12.125,10.125,26.5,37,4,7,17,1,14.0625,8,16,11.5625,5,1.875,0.9375,6.0625,0,3,24.25,0,20.0625,7,0,9.0625,8,10.125,3,0,36.875,5.25,1,0,0,3,21.75,1,6,0,1,3,30.1875,0,7.25,0,13.25,17.875,0,0,0,8.125,0,19.75,500.8125,442.625
SD27,Cariboo - Chilcotin,0,0,0,0,6,9,0,7,12.1875,5,1,13,2,0,1,1,0,3,4,2,1,2,1,4,0,0,0,2,11.0625,5,6,4.125,0,0,0,0,1,1,1,1.125,1,3,14,9.9375,4,0,2,2,2.6875,0,3,1,0,5,0,1,0,3,0,0,158.125,136.5
SD28,Quesnel,0,0,0,0,3,2,7,0,6,9,4,7.1875,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,13.1875,0,2.125,4,3,0,0,1,4,1,3,1,0,2,2,3,1,1,1.125,1,0,0,4,0,0,1,1,2,0,3.375,0,2,99,122.25
SD33,Chilliwack,2,0,2,4.875,2,6,1,2,0,117.625,50,108.0625,18,0,17,0,15.5625,14.125,27.25,3,3,4,1,1,0,0,2,3,8.9375,8,8,1,1,2.5,0,1.125,3,7.125,0,0,7,3,3,0,17.875,44,3,5,5,0,2.0625,0,9,2,3,2,0,8.25,0,12,571.375,417.3125
SD34,Abbotsford,0,0,0,0,0,12.125,0,1,72.875,0,82.25,145,7,5,14,4.9375,17.125,12,20.25,3,2.8125,4.5,1,3.0625,0,0,3,0,2,0,1,2,3,2.5,2,0,2.125,1,0,3,5,0,13,1,56.1875,8,0,3,2,0,1,0,5.1875,2,0,0,0,5,0,4,534.9375,615.5625
