Abbrev,District,SD05,SD06,SD08,SD10,SD19,SD20,SD22,SD23,SD27,SD28,SD33,SD34,SD35,SD36,SD37,SD38,SD39,SD40,SD41,SD42,SD43,SD44,SD45,SD46,SD47,SD48,SD49,SD50,SD51,SD52,SD53,SD54,SD57,SD58,SD59,SD60,SD61,SD62,SD63,SD64,SD67,SD68,SD69,SD70,SD71,SD72,SD73,SD74,SD75,SD78,SD79,SD81,SD82,SD83,SD84,SD85,SD87,SD91,SD92,SD93,total_move_in,total_move_out
SD35,Langley,0,0,0,0,0,6,0,1,11.1875,112.375,0,365.625,29.75,13.1875,41,13.1875,55.0625,24,61.25,7,4,3.125,3,0,0,0,1,2,1,3,0,0,6,0,0,2,1.125,10.9375,1,0,7,2,9,2,10.5,0,2,0,0,0,0,0,11.125,3.125,0,0,0,5,0,10,840.5625,661.25
SD36,Surrey,2,0,8,2,3,18,6.375,0,24.5,50.125,123.6875,0,156.625,74.1875,164.3125,47.25,142.6875,20.125,64.25,19.0625,11,0,1,7.125,0,4.3125,2,3,17.125,2,2,4.25,23,5.125,1,2.0625,1,4,0,1,5.375,3,11,1,20,1,2,1,0,0,3.125,3,18.625,3,1,0,0,2,1,42.25,1135.5625,1800.375
SD37,Delta,0.4375,0,0,0,0,6,3,0,3,8,24,264.6875,0,60.75,53.125,13,25.6875,8.875,14,8.625,10.875,0,0,1,0,0,0,0,5.9375,0,0,1,2,1,2,0,0,2,0,0.625,0,0,1,0,1,0,4.0938,0,0,0,0.375,0,6,0.625,0,0,0,5.125,0,15,552.8438,441.25
SD38,Richmond,0,0,0,0,0,4,2,0,0,0,8,38.0625,15.375,0,113.3125,8.0625,23.6875,2.125,8,0,3.125,0,2.25,0,1,0,0,0,0,0,0,0,9,0,2,0,0,0,0,0,0,0,1.875,0,0,2,1.1875,2.125,0,0,1.5,1,4,0,0,0,0,3,0,12,268.6875,454.375
SD39,Vancouver,1,0,2.125,1,2.125,12.5,3,1,5.5,9,9.0625,115.25,15.25,134.6875,0,24.375,125.25,15,47.625,22.8125,32.5625,6.125,7,10,1,3,0,0,3,1,0,1,16,1.0625,5,4,2,12.25,0,1,3.0625,1,4,1,4,2,8.125,2,0,2,6,1,36.125,0,1,0,0,2,2,49.875,777.75,1255.625
SD40,New Westminster,0,0,1,1,1,0,0,0,0,4,2,22.25,6,7,26.875,0,47.8125,1,8,4.0625,0,0,0,1,0,0,0,0,1,0,0,0,2,0,0,0,0,2,0,0,0,1,1,0,0,1,0,0,0,0,0,0,3.5625,1,0,0,0,1,0,2,148.5625,250
SD41,Burnaby,0,0,0,0,1,1,0,0,2,2,20,61.125,23,16.375,211.25,41.25,0,15,81.375,27.875,22.125,3,2,0,0,3,0,1,1,0,0,0,2.0625,10,0,0,3,6.125,1.5,1,2,0,0,0,0,1,0,1,0,0,0,0,6,1.9375,1,2,0,1,5,7,587,886.125
SD42,Maple Ridge - Pitt Meadows,2,0,4.125,0,2,3,3,0,5,16.125,40,87.25,5.75,5,28.9375,15.9375,54.0625,0,151,13,3,4.125,0,2.0625,0,0,0,1,3,0,0,1.125,3.0625,2,5,0,1,2,0,2,0,0,4,0,20.25,0,1,1,3,0,0.125,0,3.25,0,0,0,0,1,0,7.875,507.0625,354.875
SD43,Coquitlam,0,0,4,0.875,3,7,2,0,5.0625,9.25,24,68.25,17.75,23.125,97.3125,41,194.1875,71.875,0,21.75,14.125,2.875,1,1,0,2,1,0,0,1,0,0,4.5,2,1,0,5,3.3125,0,0,3,0,6,0,3,1,0,0,0,0,0,0,17.1875,1,0,0,0,2,1,25,688.4375,744
SD44,North Vancouver,0,0,0,0,0.5,6,0,1,1,0,3,9,2,6,68.75,4,17.0625,2,12.125,0,52.9375,6,3,9,0,1,1,0,1,0,0,1,2,0,0,1,3,2,2,1,1,0,2.125,0,0,1,0,1,0,0,1.125,0,37,0,0,0,0,0,0,47.875,309.5,372.4375
SD45,West Vancouver,0,0,0,0,0,1,0,1,0,0,4,3,0,10,39,2,24.25,3,13,87.6875,0,0,6,4,0,0,1,0,0,0,0,0,0,1.125,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,16,0,0,0,0,0,0,17.125,236.1875,263.3125
SD46,Sunshine Coast,0,0,0,0,0,4,1,1,6,4.1875,3,11,3,3.0625,12,0,1,3,5,6,0.625,0,0,3,0,0,0,0,0,0,1,0,3.6875,0,1,0,0,4,0,0,0.25,0,2.125,0,0,0,0,2,0,0,0,0,0,3,0,0,0,1,0,6,90.9375,119.375
SD47,Powell River,1,0,2,0,3,3,0,4,15,6,6,20,1,7,40,7,10,6.875,14,11,36,14,0,14,0,0,0,0,3,0,0,0,3,3,5,12.125,2,6,2,4,147.5625,17.125,2,0,4,0,3,0,0,0,7,0,15,0,0,2,0,5,0,29.5,493.1875,104.5
SD48,Sea to Sky,2,0,2,0,1,1,5,0,0.5625,1,1,6.9375,0,0,23,0,9,2,3,16.375,9.9375,2.875,3,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,2.0625,14.1875,1,4,0,0,0,0,0,0,0,3,0,30,0,1,0,0,2,0,26,175.9375,136.25
SD49,Central Coast,0,0,0,0,0,0,2,1,0,1,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,1,1.125,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,14.125,11.125
SD50,Haida Gwaii - Queen Charlotte,0,0,0,0,2,0,0,0,0,0,0,3,0,0,0,0,0,0,9,0.875,0,0,0,0,0,4.0625,0,1,1,0,0,0,1,0,0,0,0,2,0,0,0,1,0,2,0,0,1,0,0,0,0,0,0,0,0,4,0,0,0,0,31.9375,26.8125
SD51,Boundary,0,0,2,7.25,3,12,2,1,3.5,4,3,2,3,0,0,0,1,3,0,0,2,0,0,0,0,0,2,0,0,0,3,0,0,2,2,0,3,0,0,0,0,0,2,0,3.125,1,0,0,0,0,0.125,0,0,1,0,0,0,1,0,0,69,49.75
SD52,Prince Rupert,0,0,0,0,0,3,2,3,0,1,0,1,0,0,4,1,1,0,0,0,0,0,0,0,2,0,0,1,6.1875,0,0,1,0,1,1.9375,0,0,2,0,4,0.25,0,1,0,0,0,1,12,0,0,0,3.25,0,0,0,1,0,1,3.125,0,57.75,73.5625
SD53,Okanagan Similkameen,1,1,4,1,2.125,6,0,1,3,4,1,16,1,1,4.875,1,0,3,2,1,0,6,0,0,0,0,0,0,1.1875,4.125,0,0,3,0,0,0,26.125,1,0,0,1,1,1,0,5,0,0,2.75,0,0,0,0,0,0,0,0,0,0,0,1,107.1875,96.375
SD54,Bulkley Valley,2,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,10.125,0,0,2.125,0,0,0,0,0,0,0,0,9,1,3,0,1,0,0,8,0,0,6,1,0,0,0,0,1,14.125,0,0,64.375,93.125
SD57,Prince George,0,5,3,3,5.875,16,15,18,8,2.5625,1,13.0625,2.625,1,2.375,0,2.375,1,2,2.625,0.75,1,1,0,4,3,1,7,0,3,12,12.125,2,5,0,0,7.25,5,1,2,3,3,15.125,1,1,1,3,24,0,1.25,44.75,0,1,5,2,0,1,55.75,0,8.375,341.875,512.6875
SD58,Nicola - Similkameen,0,0,4.375,0.875,1.125,13.625,2,1.125,4,7.625,6.125,6.5,0.625,0,2.5,0,1,1,1.75,0,2,0,2,1,0,0,6.125,0,7.125,0,2,1,0,0,1,0,4.625,1,0,1,0,0,33.625,6.8125,2.25,0,1,2,8.5,0,5,0,0,0.625,0,0,0,3.125,0,1,147.0625,89.75
SD59,Peace River South,2,0,0,0,3.125,4.125,2,2,0,3,0,3,0,0,0,0,2,0,2,0,0,0,0,0,0,0,3,0,18.4375,1,0,39.875,0,2,0.125,0,3.125,1,0,0,0,0,6,0,0,1,0,3,1.0625,0,3,0,0,1,0,0,0,1,0,0,107.875,124.875
SD60,Peace River North,3,0,2,0.875,3,3,4,8,9.25,2,1,12,0,0,1.25,1,0,1.125,8.375,0,2,1.125,2,0,1,0,1,0,23.0625,2,29.5,0,2,1,0,0,4,2,2,1,0,5,3,2,0,1,1.125,2,1,0,9.375,0,1,3,0,1,0,0,0,0,163.0625,193.1875
SD61,Greater Victoria,3,0,3,0,2,3,0,0,2,4,7,8,6.375,4,28.6875,2,5,1,7,4,3,0,1.625,5.0625,0,1,0,0,3.125,0,2,8,0,97.3125,102.5,4.0625,3.125,6.25,2,5.125,7,4.1875,3,0,1,0,19.4688,2,0,0,0,0,22,1,0,9,0,2,0,39.5,444.4063,879.0625
SD62,Sooke,1,1,0,2.75,6,8,2,3,0,6,3,6,3.875,2,4,0,3,2,7,1,2.0625,0,0,0,0,0,0,0,5,0,0,7.375,215.0625,0,41.75,2,2,16.8125,2,2,10.1875,8.0625,8,2,1,0,32.8438,2,1.125,1,2.125,0,17,0,3,1,0,1,0,13.125,461.1563,412.5
SD63,Saanich,3,0,0,4,1.25,7.5,2,7.25,9,4,11.375,17.125,7,2.625,7,2,4,8,12.875,6.5,4.125,4,2,1,0,0,0,2,3,0,4,0,393.5,129.875,0,16,2,3.375,0,1,3.25,2,2.125,0.625,0.25,0,29.5,5.875,2,0,1,0,4.5,0,1,9.125,0,5,0,5.75,754.375,239.75
SD64,Gulf Islands,0,0,0,0,0,0,0,0,0,0,0,0,1,2,12,1,3,0,4,1,0,0,2,2,0,0,0,0,0,0,0,1,7.125,6.0625,2,0,0,3,0,1,6,1,0,0,0,0,6,0,0,0,0,0,3,1,0,0,0,0,0,0,65.1875,78.125
SD67,Okanagan Skaha,6,1,1.125,1,2,62.25,4,1,0.0625,4,10.125,5.25,3,0,10.875,0,0,7,1,3.75,1,0,0,1,0,1,27,0,14.5625,8,0,6.125,0,3.125,0,1.0625,0,3,3,0,7.5,1.125,10.125,1,0,4,0,1,5.0625,0,1,0,19.125,1,0,0,0,2,0,12,257.25,180.9375
SD68,Nanaimo - Ladysmith,2,3,1,2,2,9,3,0,6,11,14.375,24,7.75,6,11,3,8,3,3,7,3,2,2,6.1875,1,4.1875,1,1,5,1,4,12.9375,20.0625,10.1875,2,2.0625,2,0,38.1875,22.1875,20.3125,19.9375,3.125,1,5,0,63.375,4,0,15,1,0,12.0625,7,14,6,0,1.125,1,38.125,478.1875,408.625
SD69,Qualicum,0,2,0,1,0,3,0,1,2,4,3,11,2,3,11,0,2,3,6,3,4,1,0,2.875,0,0,0,0,5.1875,0,5,0.9375,6,11,7,2,0,39.3125,0,15,10,3,4,0,3,0,2,1,1,2.25,1.5,0,0,1,0,5,0,2.125,0,0,192.1875,126.625
SD70,Alberni,1,0,0,0,1,0,0,1,3.625,2.25,3,4,0,0,2.125,2,0,0,3,0,0.875,0,0,2,0,1,0,0,3,0,0,3.0625,3.75,2.5,1,0,1.125,25.25,4,0,12.125,4,3.125,0,0,0,5.25,0,0,5.125,3,0,9,0,1,4,0,2,0,9,128.1875,170.25
SD71,Comox Valley,4,4.875,10.0625,35.625,5,25.25,5,7,38,13,42.875,62.625,3.5,12.375,43.75,0,25.3125,10.375,38.375,40.25,13.5,22.875,34.125,16.75,7.75,2,9,8,17,1,9,10.1875,53.5,31.125,21.625,11.0625,8,79.0625,44.75,66,0,56.9375,26.875,1,6.875,1,34.5001,4,23.125,9.875,6.125,0,35.75,3.375,6.25,5,0,5,0,40,1159.2501,371.4375
SD72,Campbell River,1,0,0,3,3.125,3,1,0,1,0,1,12.1875,2,0,4,0,0,2,1,1,0,2,5.9375,1,0,0,0,0,0,1,0,0,10,7.9375,6,0,5.125,19.125,9.1875,10.125,23.1875,0,9,0,0,0,2,6,3,5.125,1.75,0,7,0,9,25,0,1,0,5.5,210.3125,198.8125
SD73,Kamloops - Thompson,4,4,3,2,21,14.75,19.5,8,18,14.125,19,23,4,7.75,11,1,9.125,10,11,4.125,0,4,1,10,3,8,1,5,39.625,12.875,7,13.125,6.0625,2,0,0,5.25,1.75,1,2,1,0,0,27.75,7,11,3,1,42.375,0,6,0,15,32.875,0,2,1,8.375,0,11,500.4375,383.375
SD74,Gold Trail,0,1,0,0,1,2,1,2,8,2,1,0,0,0,3,0,0,2.125,0,2,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,3,0,0,0,0,0,9,0,2,2,0,1,1,0,1,0,0,1,0,0,0,1,0,0,48.125,79.125
SD75,Mission Public,0,0,0,1,0,1,1,0,17.25,76.1875,34,50.875,1,1,6,0,3,42.875,16,0,0,1,3,2,0,0,0,1,1,0,4.125,1,0,1,0,0,2,0,0,0,2,2,4,0,0,8,1,0,0,0,1,0,10,3.125,0,0,0,1,0,3,302.4375,210.4375
SD78,Fraser - Cascade,0,0,0,0,0,2,0,0,29.1875,12.25,7,10.125,2,0,1,0,1,0,1,1,0,1,2.25,0,0,0,0,0,6,0,0,0,2,0,0,0,0,0,0,0,0,0,1,2,3.125,0,0,0,0,0,3,0,0,0,0,0,0,3,0,0,89.9375,104
SD79,Cowichan Valley,0,1,0,3,0,4,0,0,1,5,5,6.125,0.625,1,0.875,2,1.0625,3,6.125,1,0,0,0,2,0,2,0,0,4.1875,0,2,4,35.1875,42.6875,14.1875,5.9375,6,32.25,2,2,17.9375,5,3,2,2,2,0,0,1,2,0,0,3,0,1,4,0,4,0,2,244.1875,256.9065
SD81,Fort Nelson,0,0,2,0,0,2,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2.375,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,17.375,44.125
SD82,Coast Mountains,1.1875,1,1,0,2,1,4,1,1,2,2,3,2,0,5,2,2,0,0,0,0,1,0,0,3.0625,12.8125,0,10,10.125,1.25,2,7.0625,1,0,0,0,1,4,0,0,0,0,0,0,0,0,0.25,0,0,0,8.5,8.25,6,1.9375,0,1,6,7.625,20.25,3,146.3125,176.625
SD83,Okanagan - Shuswap,2,1,4,2,37,22,8.125,3.25,10.0625,19,5,8,1,1,1,2,1,6,5,2,0,5.375,0,4.0625,0,0,0,0,8,2,1.125,5,1,3,1,1.0625,0,3,0,0,5,1,43.25,1,2,2,4.0625,2,0,0,2.125,0,0,0,0,0,0,0,0,2,239.5,194.0625
SD84,Vancouver Island West,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4.125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.0625,0,1,3,7.3125,0,1,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,39.5,44.125
SD85,Vancouver Island North,1,0,0,0,0,0,2,1.125,1.0625,0,0,0,0.625,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,4,0,0,0,0,6,0,0,5.125,8,0,0,0,0,1.125,1,0,3,0,0,0,0,0,0,1,1,0,0,39.0625,104
SD87,Stikine,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.5,0,0,0,0,0,0,0,0,0,0,0,0,9.5,5
SD91,Nechako Lakes,9,3,0.875,5.375,3,20.25,7.625,14.5,21.1875,7.75,12.25,31.0625,30.25,23.5,35.3125,1,9.25,12.375,8,5.625,5.75,0,0,4,1,1,2,8,95.8125,2.125,8,3,5.375,0,1.5,1.0625,2.125,5,0,0,0,2,7.125,3,5.125,2,6,15.375,9.25,0.5,0,0,0,1.5,0,0.25,0,0,2,0,461.0625,165.9375
SD92,Nisga'a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,3,0,3,0,0,0,0,0,0,3.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,14,0,0,2,0,0,0,0,0,0,0,0,0,34.25,20.5
SD93,Conseil Scolaire Francophone,0,7,1,0,3,2,2,0,0,4,0,5,4,2,12.8125,0,4,4,1,3,1,1,8,1,0,2,0,1,2,2,0,0,7.0625,2,0,0,4,4,0,5,2,5,1,0,2,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,109.875,433.125
