DISTRICT,SCHOOL_YEAR,LAST_YEAR_ENROLMENT,C_STU_CG_LAST_YR,C_STU_CG_THIS_YR,C_STU_RG_LAST_YR,C_STU_RG_THIS_YR,ENTER_ADD_LEARNING,EXIT_ADD_LEARNING,DIST_NET_RETENTION,FORECAST_ENROLMENT
5,2015,5170.9,4452.9,-4409.6,33.6,-46.3,10,-9.1,32,5338.9
5,2016,5338.9,4575.6,-4540.3,36.9,-55.9,15.8,-10,22,5414.3
5,2017,5414.3,4614.3,-4587.6,41.3,-54.1,13.8,-15.8,12,5448.9
5,2018,5448.9,4693.5,-4675.1,48,-56.4,10.2,-13.8,6,5544.3
5,2019,5544.3,4836.7,-4778.1,38,-49.6,8.6,-10.2,45,5670.8
5,2020,5670.8,4789.1,-4803.8,28.7,-37.1,13.9,-8.6,-18,5548.6
6,2015,3008,2538.3,-2526.8,35.3,-41.6,0,-1.9,3,3069.3
6,2016,3069.3,2598.1,-2601.4,29.8,-36,10.8,0,1,3116.2
6,2017,3116.2,2678.8,-2686.3,24,-34.3,5.5,-10.8,-23,3188.8
6,2018,3188.8,2736.1,-2762.6,21.5,-38,4.9,-5.5,-44,3268.5
6,2019,3268.5,2841.1,-2842.1,35.4,-38.4,6.4,-4.9,-3,3310.4
6,2020,3310.4,2882.1,-2889.3,17.1,-21.5,0.9,-6.4,-17,3303.4
8,2015,4682.3,3868,-3888.2,-3.9,-88.9,28.3,-30.6,-115,4635.1
8,2016,4635.1,3899.2,-3898,28.2,-70.5,34.6,-28.3,-35,4766.8
8,2017,4766.8,3958.1,-3975.8,31.4,-65.9,50.7,-34.6,-36,4772.9
8,2018,4772.9,3851.8,-3890.4,36.8,-65.9,35.4,-50.7,-83,4682.4
8,2019,4682.4,4031.4,-4045.6,11.4,-42.3,26.6,-35.4,-54,4791.9
8,2020,4791.9,3960,-4032.4,26.1,-47.7,15.1,-26.6,-106,4684.2
10,2015,457.4,371.8,-376.6,2,-2.6,3.9,-4.3,-6,440.4
10,2016,440.4,356.4,-351.9,2,-5.6,6.9,-3.9,4,442.1
