Abbrev,District,SD05,SD06,SD08,SD10,SD19,SD20,SD22,SD23,SD27,SD28,SD33,SD34,SD35,SD36,SD37,SD38,SD39,SD40,SD41,SD42,SD43,SD44,SD45,SD46,SD47,SD48,SD49,SD50,SD51,SD52,SD53,SD54,SD57,SD58,SD59,SD60,SD61,SD62,SD63,SD64,SD67,SD68,SD69,SD70,SD71,SD72,SD73,SD74,SD75,SD78,SD79,SD81,SD82,SD83,SD84,SD85,SD87,SD91,SD92,SD93
SD37,Delta,0,0,5,2,0,1,7,11.25,0,5,9,16,17.375,183.5,0,19,19,5,12,12,18.625,4,6.75,2,2.625,1,0,0,1,0,2,0,3.75,0.75,2,1,2,0,5.25,0,2,3.75,4,0,8,0.75,12.0313,0,5.875,2,4,0,0,6,0,0,0,32.25,0,3
SD38,Richmond,0,1,0,0,0,0,4,0,1,0,4,8,13,93.875,48.125,0,118.8125,9.875,20.625,5,15.125,2,7.875,3,2,0,0,2,0,2,0,1,0,3.75,0,0.5,1,0,6.75,1,1,3,1,0,15.5,0,5,0,0,0,0,0,0,0,0,1,0,9.75,0,1
SD39,Vancouver,1.875,0,4,0,0,0,7,13,6,0,16,9.125,25.5,212.875,49.25,116.25,0,30.75,213.3125,18,80,57.25,45.5625,10,9,14.125,2,2,0,3.0625,2,4,3,2,2,1,17,4.875,5.625,6.125,5,19,2,4.125,30.75,0,10,2,7,1,1,1,9.875,4.125,0,3,0,17.1875,1,20.125
SD40,New Westminster,0,0,0,0,0,0,0,0,1,0,6.0625,6,10,66,8,8,29,0,73.25,16,47.75,6,11,3,148,1,0,2.0625,0,0,0,0,1,0,0,0,7,2,6,2,0,5,1,0,7.1875,2,3,1,5,0,0,0,0,1,0,0,0,1,0,1
SD41,Burnaby,1.75,0,1,0,0,1.875,5,14.125,3,1,6,14,46.25,137.125,22.125,33.125,130,72.375,0,35.5,155.25,27.75,11,6,2.125,2,1,0,1,0,1,0,4.625,1,0,4,9.625,3,2,3,2.25,8,0,2,3.625,2,6,1,4,1,1.125,0,2.75,4.125,0,0,0,2.375,0,3
SD42,Maple Ridge - Pitt Meadows,2,1,1.25,0,0,0,5,16,9,5.375,28.25,18,28,20,5,0,10,2,17.25,0,57.5,2,3,1,1,0,0,0,0,3,3,0,3,0,2,0,1,0,1,1,1,6,3,2,8.25,6,18,0,51.375,3,2,0,1,6,0,0,0,4,0,3
SD43,Coquitlam,0.75,0,2,0,1,3.75,4.125,19.125,2,0,24,16.375,49.875,83.125,16.75,11,52.75,16.875,94.625,118,0,23.125,13,6,3,5.125,0,1,0,0,1.25,1,2,2,0,7.75,6,7.75,2,1,5,9,6.125,3,15.875,1,8,2,14,2,1,0,1,4,1,0,0,1.125,0,10
SD44,North Vancouver,0,0,0,0,0,0.75,3.75,8.875,0,0,4,1,11,18.875,6,7,25.75,4,13.9375,7,15.625,0,86.125,3,7,14.8125,0,0,0,2,0.75,0,0.75,0,0,2.0625,7,6,0,0,0,6.9375,5,3,4.6875,0,4,1,0,0,0,0,3,0,1,0,0,4.5,1,0
SD45,West Vancouver,0,0,2.875,0,0,1.0625,0,4,0,0,4,0,7,2,0.875,2,24.75,1,12.25,0,7,53.8125,0,6,8,7.0625,0,0,0,0,0,0,0,3.75,0,0,0,1,3.25,2,1,4.875,0,0.875,3,0,1,0,0,0,1,0,0,1,0,0,0,0.875,0,1
SD46,Sunshine Coast,3,0,0,0,0,1,0,3,2,1,2.125,2,5.125,9,1,1,5,0,3.125,3,2,5.125,1,0,10,2,0,0,2,0,0,1.125,0,0,0,0,4,2,0,0,0,2,1,2,3.9375,3,6,0,2,0,3,0,1,4,0,0,0,1.5,0,4
SD47,Powell River,0,0,0,0,0,0,0,1,0,2,1,0,1,2,0,0,3,2,1.5,2,0,0,1,0,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,1,11,2,0,29.625,2,0,0,0,0,0,0,0,1,0,1.375,0,0,0,3
SD48,Sea to Sky,0,1,2,0,3,2,5,6,3,0,3.125,1,2,12,1,1,7.25,0,1,2,2.25,12.25,18.125,1,9.5,0,0,0,0,0,2,0,0,0,0,0,3.125,2,0,0,2.1875,7.125,4,3,21.125,0,4,2,2,0,4,0,0,1,0,0,0,0,0,2
SD49,Central Coast,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,2,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,4,0,1,0,0
SD50,Haida Gwaii - Queen Charlotte,0,0,0,0,0,0,0,1,0,0,0,0,0,0,4,0,0,0,0,0,1,1,0,0,0,0,0,0,0,7.125,0,1,1,0,0,3,1,0,0,0,0,0,0,2,1,3,1,0,0,0,2,0,2,0,0,0,0,1,0,0
SD51,Boundary,5.875,0,1,0,0,2,2,15,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,4,0,0,1,0,1,0,1,2.75,0,2,0,0,0,1,1,3,0,0,0,0,0,0,0,0,0,0,6.625,0,0
SD52,Prince Rupert,0,0,0,0,0,2.375,2,0,0,3,1,0,0,1.125,0,2,0,0,0,0,0,2.0625,0,0,0,0,0,8.1875,0,0,0,2.125,6,0,0,0,0,0,0,0,1,1.1875,0,0.9375,3,0,2,0,0,0,0,0,28.1875,3.0625,0,0,0,4,4.875,0
SD53,Okanagan Similkameen,0,0,2.0625,0,0,0,2,6.4375,5.375,1,0,5,0,1,2,0,2,0,0,5,0,0.125,0,0.75,0,0,0,0,6,0,0,0,0,8.125,0,0,0,0,1,0,44,0,1,0,2.0625,0,2,0,4,1,1,0,0,0,0,0,0,4,0,0
SD54,Bulkley Valley,0,3,0,0,1,0,0,1,1,0,3,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,1,2,0,0,0,9,0,1,0,0,3,0,0,1,1,0,1,7,0,2,0,2,0,0,0,4,9.125,0,0,4,12,0,4
SD57,Prince George,3,4,1,0,0.125,5.25,10,30.0625,14.3125,16.125,6,8,3.375,11.125,4,4,8.125,0,6.125,0,1,1,0,2,1,1,0,0,0,10,4.0625,5,0,3.0625,10,10.125,5.0625,8.0625,2.125,0,3,2,2,1,5,5.0625,19.125,1.875,0,0,3,1,11,5,0,0,0,89.5,6,7
SD58,Nicola - Similkameen,1,0,0,0,0,1,2.625,10.875,5,1,8.625,3,2,0,1,0,1.25,0,0.875,0,0,0.125,0,0,0,0,0,0,1,0,1,1,2,0,1,2.125,0,0,0,1,5.125,0,0,0,0.375,1.125,25.5,8,1,0,3,0,0,5.125,0,0,1,7.25,0,0
SD59,Peace River South,1,0,0,0,0,0,1,9.25,4,2,0,1,1,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,17.125,0,0,29.125,0,2,0,0,2.125,3.125,0,1,0,3,6,1,0,0,2,3,2,2,0,1,0,4,0,0
SD60,Peace River North,2,0,6.1875,0,0,1,8,12.3125,5,7,4.125,2.125,0.9375,12,0,2,2,0,0,1,1,1.8125,0,3,2,3,0,0,2,4,0,0,13.0625,4.0625,15.3125,0,0,0,1.125,0,6,3.25,1,2.125,5.25,2.0625,7,0,0,0,6,0,1,7.625,0,3.625,1,2.375,0,0
SD61,Greater Victoria,0,1.5,1,0,0,0,5.9375,7.5,0,1,3.625,4.125,6.5,9.125,5,10.25,10.3125,2,9,0,3,4.25,2,1,1,0,0,0,0,0,1,1,0,0,1,1,0,211.5,262.6251,11.1875,2,10.25,4.25,8,16.5,3,4.5,0,1,0,28.4375,0,1,0,0,5.0625,0,0,0,4
SD62,Sooke,0,1.125,1,0,0,1,0,5,0,2,0,2,2.625,7.0625,2.25,2,3,0,5,0.875,0,3,0.625,2,3.25,2,0,0,0,1,0,0,3,0,2,2,91.25,0,42.25,5,2.25,14.125,2.5,5.125,17.625,4.75,2,0,0,1,32.3125,0,1,0,0,0,0,5.25,0,2
SD63,Saanich,0,0,0,0,0,0,0,0.875,3,0,0,2,0.25,4,3,2,5,1,0,0,2,0,0.125,0,1,0,0,0,1,0,0,0,0,0.25,3,0,103.75,38,0,0.875,0,5,1.25,4,3.625,6.125,3,0,0,2,11.125,0,0.25,0,0,1,0,4,0,0
SD64,Gulf Islands,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,3,55.625,5,3.125,0,1.25,8,1.125,0,61.25,2,0,0,0,0,0,0,0,1,0,0,10,1,12.9375,0,0,11,0,0,12.875,0,0,0,0,0,8.1875,0,0,1,0,0,0,3.5,0,3
SD67,Okanagan Skaha,3,0,3.125,0,0,1.125,2,43.625,6.25,1,3,4.25,1,5,6.5,1,5.25,0,4.125,1,1,1.125,1,0,0,2.125,0,0,1,0,20.25,1,10,10.5,0,10,3.125,0,4.5,0,0,1.125,3,0,8.25,1.125,12,1,0,0,1,0,0,8.3125,0,0,0,3.375,0,3
SD68,Nanaimo - Ladysmith,1,0,0,1,0,0,2,5,2,5.125,1,1,4,9,7,7,8,1,8.125,2.8125,5,11,1,5,4,1,0,0,4,3,3,2,8.875,3,0,2,19.375,17,6,3,2,0,40.875,19.25,40.625,9,2,0,1,0,53.0625,0,3.25,0,40.125,5.125,0,6.125,0,4
SD69,Qualicum,1,4,1,0,0,0,0,1,0,3,0,5.5625,0,0,3,3,2,0,0,0,6,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,11,6.125,3.75,0,0,37.25,0,11,17.25,1,2,0,0,0,7,0,1,0,0,3,0,0,0,0
SD70,Alberni,0,0,3,0,0,3,0,0,0,1,0,1,0,2,1.125,0,1,0,0,0,0,0,0,1,3,2,0,2,0,2,0,1,1,1,0,1,5,3.125,3,4,0,26,13,0,19.0625,7,3,0,0,0,7.25,0,0,2,2,3,0,1,0,0
SD71,Comox Valley,0,2.625,2.375,0,1.875,6.6875,1.125,4,1.125,0,4.25,1,5,12,0.25,1.125,4.125,1,3,1,3,2.5,1,0,55.4375,2.25,0,2,1,0,0,0,3,0,1,0,14,20,6.75,6,6,28.625,7.5,13.25,0,35.375,13,0,1,0,10,0,0,7.375,1,5.375,0,4.25,0,2
SD72,Campbell River,1,0,0,0,0,1.0625,0,2,2,0,0,0,1,5.25,1,1,5.4375,0,2,3,4.0625,0,0,0,4.25,0,0,1,0,0,0,0,7.125,1,7.0625,2.1875,4,4.8125,5,0,2,17,12.3125,15,60.3125,0,0,0,0,0,2,0,5,0,9,7,0,2.0625,0,7
SD73,Kamloops - Thompson,5,0,1,0,2,1,9,25.75,38,5,2.375,14,6,11,5,2.0625,6,0,2,3,2,2,0,2,1,2,0,1,2,0,5.75,3,15,26.375,2,4,9.875,8,0,2,10,13,1,2,5,0,0,19.875,2,1,4,0,7,30.875,0,0,0,9.875,2,6
SD74,Gold Trail,3,0,0,0,0,1,1,1,13,3,1,0,0,6,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,3.125,1,0,0,0,0,0,1,0,0,0,0,0,23.8125,0,0,1.875,0,0,0,0,0,0,0,1,0,0
SD75,Mission Public,1,0,1,1,0,0,6,5,6,6.375,20.125,76.5,14,12,2,0,2,1,1,22.125,5,0,0,0,1,0,0,1,0,0,3,0,7.5,3.125,0,1,1,0,1,0,4,2,0,1,7.125,1,18,0,0,8.125,0,0,0,5,0,0,0,3,0,1
SD78,Fraser - Cascade,0,1,0,0,0,0,0,0,1,0,60.25,7,10,4,0,0,1,0,0,4.125,1,0,0,3,3,1,0,0,3.125,0,0,0,4,1,3,3,1,0,0,0,1,1,5,1,1,0,2,7,8.125,0,1,0,0,3,0,0,0,2,0,0
SD79,Cowichan Valley,1,0,1,1,0,1,0,4,1,0,2,3,2,5.125,0,0,4,0,2,0,2,3,0,0,0,2.3438,0,0,0,1,0,0,0,0,0,6,19.125,33.8126,17.625,7.375,3.125,51.1251,5,5,12.5,4,3.125,0,1,0,0,0,3,1,1,0,0,2,0,0
SD81,Fort Nelson,1,0,0,0,0,0,3,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4,0,1.75,13,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
SD82,Coast Mountains,0,1,1,0,0,4,4,11,3,3,6,0,4,1,0,4,4,0,1.875,2,2,2,0,0,1,0,0,2,1,11.875,0,16,21,0,0,0,2,0,2.25,0,2,1,0,0,1.125,1,7,0,0,0,1,0,0,1.5,0,0,7,10,11,0
SD83,Okanagan - Shuswap,1,2,2,2,3,2,56.25,17.875,5,1,2,2,3.125,3,0.625,0,0,1,1.9375,0,1,0,0,3,0,0,0,0,1,0,0,0,5,0.625,1,3,1,0,0,1,1,7,1,0,3.375,0,32.875,1,3.125,0,0,0,1.9375,0,1,0,0,1.5,0,0
SD84,Vancouver Island West,0,0,0,0,0,0,0,0,0,1,3,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,3,1,0,0,14,0,1,6.25,9,0,0,0,0,1,0,0,0,0,0,0,0,0,0
SD85,Vancouver Island North,3,0,1,0,0,0,0,0,1,2,2,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,4,0,1,0,0,0,0,0,1,9,1,9.125,0,0,6,5,4,5,25,2,0,0,0,4,0,1,0,2,0,0,0.25,0,0
SD87,Stikine,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,6,0,0,1,0,0,0,0
SD91,Nechako Lakes,2,1,0,2,0,1,8,8.125,3,3.375,8.25,5,5,2,5.125,3,2,1,1,1,2,0,0,1,5,2,0,0,1,1,0,14.125,55.75,3.125,1,0,2,1,5,0,2,1.125,2.125,2,5,1,8.375,1,1,3,4,0,7.625,0,0,1,0,0,0,0
SD92,Nisga'a,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,5,0,1,0,0,0,0,0,0,0,0,3.125,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,20.25,0,0,0,0,2,0,0
SD93,Conseil Scolaire Francophone,5,0,10.75,0,2,7,0,19.75,0,2,12,4,10,42.25,15,12,49.875,2,7,7.875,25,47.875,17.125,6,29.5,26,0,0,0,0,1,0,8.375,1,0,0,39.5,13.125,5.75,0,12,38.125,0,9,40,5.5,11,0,3,0,2,0,3,2,0,0,0,0,0,0
