Abbrev,District,SD05,SD06,SD08,SD10,SD19,SD20,SD22,SD23,SD27,SD28,SD33,SD34,SD35,SD36,SD37,SD38,SD39,SD40,SD41,SD42,SD43,SD44,SD45,SD46,SD47,SD48,SD49,SD50,SD51,SD52,SD53,SD54,SD57,SD58,SD59,SD60,SD61,SD62,SD63,SD64,SD67,SD68,SD69,SD70,SD71,SD72,SD73,SD74,SD75,SD78,SD79,SD81,SD82,SD83,SD84,SD85,SD87,SD91,SD92,SD93
SD05,Southeast Kootenay,0,13.125,17.625,0,0,6,5,6,0,0,2,6,1,1.125,1,1.25,0,0,0,0,1,0,0,2,1,0,1,0,2,0,0,1,0,0,4,1,2,3,1,3,0,3,0,0,1,0,9,0,1,0,1,0,1,1.5,0,1,0,2.125,0,0
SD06,Rocky Mountain,25.375,0,8.125,0,1,0,6,7,0,0,0,0,0,1,0,0,1,0,0,0,0,2,0,0,0,0,0,0,1,0,3,0,0,2,1,0,0,0,1,0,1,1,2,0,0.875,0,6,0,0,0,4.875,3,1,3,0,0,0,1,0,13
SD08,Kootenay Lake,10.75,4.125,0,0,0,29.125,4.0625,4,0,1,0,2,0,8,0,1,3.0625,0,3,1,0,2.75,0,1,0,0,0,0,0,0,0,0,1,1,2,3,3,0,2.875,0,2,1,0,0,4.1875,0,2.75,0,0,0,0,0,2,0,0,0,0,3,0,2
SD10,Arrow Lakes,2,0,8.5625,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1.2813,0,0,1,0,0,0,1,0,0,0,1.125,0,0.25,0,0,0,0,0,0,8.125,0,0,0,0,0,0
SD19,Revelstoke,4,0,4,0,0,0,6.25,9.375,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,3.375,0,4,0,0,1,0,0,0,2,0,0,0,6.25,0,0,0,0,0,0,15,0,0,0,0,0,3
SD20,Kootenay - Columbia,3,0,22.25,1,0,0,1,7,0,0,0,1,0.875,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,1,0,3,0,0,0,0,0,0,0,4,2.75,0,0,12.625,0,3,0,1,0,2,0,3,0,0,0,0,4.375,0,1
SD22,Vernon,0.8125,0,0,0,2.125,4,0,27.125,4,2,7,1,4,9,1,0,7,1,0,5,0,1,1,1,1,0,0,0,0,0,0,0,2.75,7,2,2,6,0,1,0,6,1,1,0,16.375,2,17.125,3,2,0,0,0,1,67.3125,0,0,0,8.125,0,1
SD23,Central Okanagan,3.25,3,9.125,5,8,4,47.5,0,11,2,12,11.125,2.75,18.125,7,0,14,3,4,7.125,6,5,0,0,1,1,0,0,15,2,18.125,5,12,6.375,7,1,3.25,13,3.25,0,24.125,9,3,2,5.25,3,30.125,0,1,0,8,0,2,20.125,0,0,0,14.125,1,14
SD27,Cariboo - Chilcotin,1,2.875,1,0,0,0,2,9,0,16,5,4,0,5,4,3,1,0,1,0,0,1,1,1,0,0,2,0,1,0,1,1,17.75,4,9,2.625,1,0,0,1,9,1,0,3,4.125,5,27,4,3,0,0,0,7.125,5,0,1,0,2,0,0
SD28,Quesnel,0,2,0,1,2,0,1,3.125,7,0,2,1,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,13,0,4,7,0,0,0,0,5,0,0,0,0,6,7,0,0,2,3,0,0,5,0,0,0,11.125,0,0
SD33,Chilliwack,5,0,2,0,0,0,5,16.375,11,7.0625,0,53,26.1875,20.6875,2.0625,0,4.1875,0,6.1875,6,4,3,0,4,1,2,0,0,1,0,2,5,5.125,17.5,1.0625,2.4375,1,2.1875,1,5,8.125,4.125,1,7,6.3438,2,15.3125,2,19.3125,45.25,2,0,4,17.0625,4,0,0,4.3125,0,2
SD34,Abbotsford,1,1,0,0,0,3,4,15,5,8,125.0625,0,86.4375,69.625,7,1,7,2,11,16.5,13.125,3.9375,0,2,3.125,0,0,0,0,0,3,3,12,4,0,3,5,4.5,1,0,11,2,3,3,5.25,1,33.25,0,78.875,7,1,0,3,13.125,1,4,0,9.75,2,2
SD35,Langley,3,0,1,0,0,2,6,28,5,0,53.875,72,0,135.125,28.625,5,12,3,15,29,19,1,7,4,0,2,0,0,3,0,1.125,0,4,8.625,0,4.25,2,3,0.875,1.5,9,11,4,2,12,0,17,2,26,7,5,0,0,10.5,0,1.5,0,8.5,0,4
SD36,Surrey,2,0,11.625,0,0,2.75,10,55.125,7,3,102.9375,113,314.0625,0,344.5,52.5625,104.25,27,60.25,106,81.125,20.125,18,7.125,2,7.5,0,4,0,7,7.875,1,6.125,4.125,2,7,15,13,8.25,0.875,15,35.125,8,5,20.875,3,16.75,1,48.25,6,12,0,11,12,0,0,0,23.125,0,9
