DISTRICT,SCHOOL_YEAR,LAST_YEAR_ENROLMENT,ENTER_PUBLIC,LEAVE_PUBLIC,NET_INDEPENDENT,FORECAST_ENROLMENT
5,2014,5160,82,-83,-1,5171
5,2015,5171,132,-36,96,5339
5,2016,5339,91,-42,49,5414
5,2017,5414,88,-41,47,5449
5,2018,5449,124,-39,85,5544
5,2019,5544,98,-48,50,5671
6,2014,3000,21,-26,-5,3008
6,2015,3008,36,-15,21,3069
6,2016,3069,33,-19,14,3116
6,2017,3116,25,-9,16,3189
6,2018,3189,42,-15,27,3269
6,2019,3269,25,-25,0,3310
8,2014,4722,102,-114,-12,4682
8,2015,4682,112,-85,27,4635
8,2016,4635,122,-63,59,4767
8,2017,4767,131,-55,76,4773
8,2018,4773,133,-75,58,4682
8,2019,4682,164,-45,119,4792
10,2014,468,5,-2,3,457
10,2015,457,3,-5,-2,440
10,2016,440,6,-7,-1,442
10,2017,442,3,,3,435
10,2018,435,4,-8,-4,456
10,2019,456,7,,7,461
19,2014,948,2,-8,-6,927
19,2015,927,5,-7,-2,924
19,2016,924,3,-11,-8,955
19,2017,955,7,-6,1,970
19,2018,970,7,,7,1033
19,2019,1033,4,-10,-6,1008
20,2014,3784,28,-60,-32,3700
20,2015,3700,57,-22,35,3675
20,2016,3675,39,-28,11,3839
20,2017,3839,41,-39,2,3945
20,2018,3945,42,-17,25,3935
20,2019,3935,34,-24,10,3980
22,2014,7841,63,-92,-29,8044
22,2015,8044,67,-46,21,8185
22,2016,8185,78,-65,13,8274
22,2017,8274,68,-60,8,8385
22,2018,8385,65,-74,-9,8418
22,2019,8418,75,-59,16,8526
23,2014,21441,251,-304,-53,21404
23,2015,21404,284,-197,87,21643
23,2016,21643,219,-207,12,22064
23,2017,22064,311,-216,95,22083
23,2018,22083,261,-258,3,22679
23,2019,22679,347,-208,139,23057
27,2014,4829,58,-121,-63,4566
27,2015,4566,62,-31,31,4553
27,2016,4553,89,-54,35,4563
27,2017,4563,96,-44,52,4638
27,2018,4638,76,-49,27,4696
27,2019,4696,62,-75,-13,4592
28,2014,3217,25,-36,-11,3053
28,2015,3053,51,-24,27,3058
28,2016,3058,35,-18,17,3044
28,2017,3044,48,-20,28,2990
28,2018,2990,42,-28,14,2976
28,2019,2976,33,-33,0,2972
33,2014,12520,127,-177,-50,12438
33,2015,12438,130,-106,24,12756
33,2016,12756,146,-113,33,13174
33,2017,13174,117,-120,-3,13422
33,2018,13422,130,-133,-3,13668
33,2019,13668,134,-130,4,13851
34,2014,18888,137,-257,-120,18756
34,2015,18756,209,-209,0,18947
34,2016,18947,210,-227,-17,19431
34,2017,19431,196,-259,-63,19307
34,2018,19307,225,-251,-26,19628
34,2019,19628,176,-256,-80,19610
35,2014,18792,141,-242,-101,18884
35,2015,18884,168,-195,-27,19224
35,2016,19224,190,-163,27,19921
35,2017,19921,182,-176,6,20360
35,2018,20360,166,-179,-13,20554
35,2019,20554,119,-162,-43,20890
36,2014,67485,736,-949,-213,67507
36,2015,67507,971,-609,362,68378
36,2016,68378,866,-679,187,69373
36,2017,69373,888,-662,226,70331
36,2018,70331,956,-594,362,71483
36,2019,71483,878,-591,287,72522
37,2014,15282,185,-137,48,15262
37,2015,15262,171,-114,57,15387
37,2016,15387,188,-125,63,15338
37,2017,15338,186,-107,79,15345
37,2018,15345,217,-138,79,15353
37,2019,15353,179,-129,50,15491
38,2014,20681,139,-265,-126,20179
38,2015,20179,160,-220,-60,19876
38,2016,19876,170,-239,-69,19403
38,2017,19403,178,-200,-22,19339
38,2018,19339,234,-222,12,19412
38,2019,19412,168,-204,-36,19662
39,2014,51338,497,-821,-324,50339
39,2015,50339,483,-639,-156,49709
39,2016,49709,463,-644,-181,49507
39,2017,49507,470,-613,-143,49132
39,2018,49132,516,-655,-139,48955
39,2019,48955,464,-550,-86,48680
40,2014,6229,88,-91,-3,6285
40,2015,6285,97,-88,9,6428
40,2016,6428,81,-81,0,6425
40,2017,6425,62,-96,-34,6558
40,2018,6558,51,-100,-49,6578
40,2019,6578,31,-60,-29,6484
41,2014,23304,219,-211,8,23111
41,2015,23111,183,-152,31,23187
41,2016,23187,182,-156,26,23310
41,2017,23310,161,-152,9,23454
41,2018,23454,167,-186,-19,23434
41,2019,23434,196,-169,27,23875
42,2014,13666,99,-106,-7,13656
42,2015,13656,73,-55,18,14028
42,2016,14028,79,-61,18,14253
42,2017,14253,88,-91,-3,14390
42,2018,14390,83,-66,17,14568
42,2019,14568,82,-71,11,14847
43,2014,30331,174,-264,-90,30250
43,2015,30250,218,-179,39,30620
43,2016,30620,224,-181,43,30591
43,2017,30591,190,-189,1,30609
43,2018,30609,249,-199,50,30655
43,2019,30655,226,-164,62,30889
44,2014,15138,126,-220,-94,15081
44,2015,15081,141,-163,-22,15261
44,2016,15261,110,-173,-63,15055
44,2017,15055,128,-176,-48,15120
44,2018,15120,151,-178,-27,15126
44,2019,15126,156,-123,33,15317
45,2014,6677,99,-173,-74,6727
45,2015,6727,110,-152,-42,6787
45,2016,6787,119,-172,-53,6811
45,2017,6811,111,-143,-32,6898
45,2018,6898,120,-148,-28,6917
45,2019,6917,113,-117,-4,6997
46,2014,3043,45,-23,22,3027
46,2015,3027,45,-8,37,3121
46,2016,3121,23,-14,9,3140
46,2017,3140,6,-12,-6,3157
46,2018,3157,17,-5,12,3256
46,2019,3256,12,-7,5,3270
47,2014,1963,60,-38,22,1860
47,2015,1860,63,-24,39,1854
47,2016,1854,57,-16,41,1920
47,2017,1920,66,-13,53,2048
47,2018,2048,54,-21,33,2056
47,2019,2056,78,-28,50,2488
48,2014,4369,26,-86,-60,4387
48,2015,4387,78,-39,39,4604
48,2016,4604,61,-47,14,4717
48,2017,4717,51,-37,14,4904
48,2018,4904,60,-47,13,5044
48,2019,5044,76,-47,29,5158
49,2014,218,12,-15,-3,194
49,2015,194,20,-14,6,207
49,2016,207,23,-17,6,221
49,2017,221,21,-15,6,235
49,2018,235,32,-10,22,265
49,2019,265,8,-42,-34,222
50,2014,566,6,-4,2,546
50,2015,546,4,-6,-2,545
50,2016,545,8,-4,4,517
50,2017,517,4,-4,0,511
50,2018,511,5,-6,-1,461
50,2019,461,5,-10,-5,448
51,2014,1263,25,-15,10,1245
51,2015,1245,21,-11,10,1248
51,2016,1248,8,-17,-9,1286
51,2017,1286,6,-20,-14,1284
51,2018,1284,22,-5,17,1250
51,2019,1250,7,-17,-10,1238
52,2014,2084,47,-27,20,2042
52,2015,2042,54,-20,34,2047
52,2016,2047,53,-33,20,1979
52,2017,1979,59,-27,32,1961
52,2018,1961,37,-22,15,1994
52,2019,1994,42,-17,25,1967
53,2014,2347,32,-33,-1,2284
53,2015,2284,34,-14,20,2218
53,2016,2218,35,-13,22,2312
53,2017,2312,19,-22,-3,2313
53,2018,2313,16,-15,1,2337
53,2019,2337,22,-10,12,2290
54,2014,2188,53,-47,6,2070
54,2015,2070,61,-22,39,2064
54,2016,2064,53,-23,30,2003
54,2017,2003,57,-31,26,1969
54,2018,1969,47,-20,27,1948
54,2019,1948,32,-36,-4,1944
57,2014,12664,141,-141,0,12649
57,2015,12649,179,-68,111,12688
57,2016,12688,149,-69,80,12805
57,2017,12805,199,-78,121,12975
57,2018,12975,162,-96,66,13021
57,2019,13021,139,-88,51,13092
58,2014,2107,25,-46,-21,2046
58,2015,2046,46,-26,20,2062
58,2016,2062,37,-22,15,2092
58,2017,2092,35,-33,2,2040
58,2018,2040,53,-34,19,2061
58,2019,2061,20,-32,-12,2046
