DISTRICT,SCHOOL_YEAR,LAST_YEAR_ENROLMENT,ENTER_PUBLIC,LEAVE_PUBLIC,NET_INDEPENDENT,FORECAST_ENROLMENT
59,2014,3604,53,-99,-46,3482
59,2015,3482,97,-50,47,3492
59,2016,3492,107,-54,53,3464
59,2017,3464,118,-69,49,3488
59,2018,3488,115,-39,76,3577
59,2019,3577,125,-51,74,3622
60,2014,5642,75,-66,9,5673
60,2015,5673,91,-42,49,5997
60,2016,5997,69,-81,-12,5889
60,2017,5889,63,-59,4,6045
60,2018,6045,58,-94,-36,6053
60,2019,6053,115,-48,67,6121
61,2014,18400,196,-287,-91,18430
61,2015,18430,250,-218,32,18702
61,2016,18702,254,-193,61,18879
61,2017,18879,222,-191,31,19123
61,2018,19123,246,-212,34,19507
61,2019,19507,192,-242,-50,19648
62,2014,9075,61,-119,-58,9135
62,2015,9135,83,-54,29,9515
62,2016,9515,95,-67,28,10087
62,2017,10087,95,-60,35,10459
62,2018,10459,81,-66,15,10832
62,2019,10832,70,-91,-21,11114
63,2014,6953,99,-73,26,6841
63,2015,6841,112,-67,45,6911
63,2016,6911,106,-86,20,6909
63,2017,6909,124,-74,50,7004
63,2018,7004,93,-65,28,7083
63,2019,7083,78,-60,18,7122
64,2014,1684,40,-37,3,1661
64,2015,1661,32,-26,6,1707
64,2016,1707,32,-20,12,1719
64,2017,1719,44,-17,27,1697
64,2018,1697,28,-21,7,1736
64,2019,1736,22,-42,-20,1477
67,2014,5765,56,-68,-12,5593
67,2015,5593,76,-36,40,5671
67,2016,5671,76,-49,27,5691
67,2017,5691,89,-32,57,5749
67,2018,5749,91,-38,53,5825
67,2019,5825,58,-32,26,5711
68,2014,13174,94,-159,-65,12866
68,2015,12866,162,-115,47,13052
68,2016,13052,103,-119,-16,13416
68,2017,13416,111,-98,13,13720
68,2018,13720,135,-119,16,14022
68,2019,14022,87,-110,-23,14285
69,2014,4029,45,-76,-31,3876
69,2015,3876,44,-42,2,3950
69,2016,3950,39,-27,12,4011
69,2017,4011,32,-31,1,4040
69,2018,4040,42,-36,6,4096
69,2019,4096,43,-33,10,4153
70,2014,3639,46,-48,-2,3538
70,2015,3538,95,-22,73,3640
70,2016,3640,67,-42,25,3762
70,2017,3762,74,-28,46,3745
70,2018,3745,66,-28,38,3734
70,2019,3734,63,-17,46,3806
71,2014,7763,48,-87,-39,7479
71,2015,7479,56,-58,-2,7376
71,2016,7376,129,-64,65,7802
71,2017,7802,124,-85,39,8222
71,2018,8222,98,-88,10,8277
71,2019,8277,105,-104,1,8552
72,2014,5147,64,-37,27,5162
72,2015,5162,42,-33,9,5225
72,2016,5225,39,-44,-5,5344
72,2017,5344,27,-31,-4,5401
72,2018,5401,35,-41,-6,5463
72,2019,5463,32,-29,3,5464
73,2014,13938,117,-111,6,13981
73,2015,13981,169,-88,81,13939
73,2016,13939,128,-87,41,14101
73,2017,14101,109,-122,-13,14359
73,2018,14359,127,-109,18,14591
73,2019,14591,122,-99,23,14832
74,2014,1144,14,-29,-15,1096
74,2015,1096,27,-7,20,1111
74,2016,1111,28,-19,9,1107
74,2017,1107,37,-11,26,1109
74,2018,1109,14,-27,-13,1090
74,2019,1090,23,-16,7,1102
75,2014,5764,45,-56,-11,5639
75,2015,5639,46,-53,-7,5761
75,2016,5761,34,-45,-11,5930
75,2017,5930,68,-42,26,6058
75,2018,6058,71,-43,28,6073
75,2019,6073,35,-49,-14,6145
78,2014,1638,28,-44,-16,1573
78,2015,1573,56,-23,33,1644
78,2016,1644,30,-36,-6,1684
78,2017,1684,23,-18,5,1662
78,2018,1662,45,-17,28,1738
78,2019,1738,20,-21,-1,1679
79,2014,7407,121,-190,-69,7263
79,2015,7263,154,-120,34,7397
79,2016,7397,166,-133,33,7583
79,2017,7583,156,-115,41,7790
79,2018,7790,203,-139,64,8061
79,2019,8061,155,-147,8,8144
81,2014,808,13,-19,-6,757
81,2015,757,27,-12,15,769
81,2016,769,32,-10,22,728
81,2017,728,13,-7,6,721
81,2018,721,11,-19,-8,684
81,2019,684,13,-10,3,671
82,2014,4698,56,-84,-28,4470
82,2015,4470,101,-54,47,4289
82,2016,4289,85,-73,12,4129
82,2017,4129,134,-46,88,4109
82,2018,4109,111,-56,55,4102
82,2019,4102,101,-34,67,4140
83,2014,6019,68,-91,-23,5866
83,2015,5866,77,-72,5,5950
83,2016,5950,73,-69,4,6058
83,2017,6058,63,-55,8,6167
83,2018,6167,62,-61,1,6364
83,2019,6364,54,-61,-7,6431
84,2014,403,2,-8,-6,389
84,2015,389,3,-2,1,366
84,2016,366,4,-5,-1,414
84,2017,414,2,-4,-2,417
84,2018,417,2,-3,-1,464
84,2019,464,6,,6,474
85,2014,1372,53,-29,24,1333
85,2015,1333,56,-26,30,1326
85,2016,1326,46,-15,31,1360
85,2017,1360,55,-25,30,1354
85,2018,1354,50,-19,31,1372
85,2019,1372,37,-30,7,1290
87,2014,199,10,-4,6,184
87,2015,184,6,-3,3,191
87,2016,191,4,-1,3,180
87,2017,180,9,-3,6,189
87,2018,189,2,-8,-6,145
87,2019,145,8,-3,5,151
91,2014,4012,61,-64,-3,3829
91,2015,3829,82,-59,23,3752
91,2016,3752,73,-32,41,3720
91,2017,3720,44,-38,6,3586
91,2018,3586,56,-84,-28,3556
91,2019,3556,66,-45,21,3479
92,2014,390,3,-4,-1,421
92,2015,421,5,-4,1,375
92,2016,375,2,,2,384
92,2017,384,2,,2,387
92,2018,387,2,-1,1,374
92,2019,374,7,-2,5,373
93,2014,5084,28,-68,-40,5373
93,2015,5373,28,-59,-31,5556
93,2016,5556,27,-55,-28,5705
93,2017,5705,31,-74,-43,5970
93,2018,5970,42,-74,-32,6118
93,2019,6118,21,-55,-34,6228
5,2020,5671,88,-79,9,5549
6,2020,3310,34,-31,3,3303
8,2020,4792,98,-81,17,4684
10,2020,461,2,-5,-3,514
19,2020,1008,5,-7,-2,1022
20,2020,3980,26,-67,-41,3881
22,2020,8526,71,-92,-21,8487
23,2020,23057,313,-331,-18,23140
27,2020,4592,69,-66,3,4413
28,2020,2972,26,-28,-2,2927
33,2020,13851,116,-191,-75,13974
34,2020,19610,176,-298,-122,19428
35,2020,20890,138,-218,-80,21171
36,2020,72522,867,-698,169,71936
37,2020,15491,205,-129,76,15759
38,2020,19662,163,-195,-32,19698
39,2020,48680,513,-591,-78,48451
40,2020,6484,34,-50,-16,6517
41,2020,23875,203,-185,18,23644
42,2020,14847,78,-88,-10,15009
43,2020,30889,206,-235,-29,31175
44,2020,15317,160,-179,-19,15332
45,2020,6997,119,-197,-78,6945
46,2020,3270,13,-19,-6,3200
47,2020,2488,125,-33,92,2929
48,2020,5158,60,-50,10,5266
49,2020,222,17,-13,4,231
50,2020,448,5,-8,-3,440
51,2020,1238,9,-28,-19,1241
52,2020,1967,32,-23,9,1831
53,2020,2290,26,-13,13,2291
54,2020,1944,63,-17,46,1931
57,2020,13092,147,-121,26,12848
58,2020,2046,33,-37,-4,1959
59,2020,3622,73,-62,11,3558
60,2020,6121,74,-95,-21,6030
61,2020,19648,172,-245,-73,19352
62,2020,11114,62,-120,-58,11255
63,2020,7122,107,-100,7,7406
64,2020,1477,21,-22,-1,1431
67,2020,5711,80,-104,-24,5534
68,2020,14285,97,-125,-28,14304
69,2020,4153,45,-43,2,4226
70,2020,3806,57,-45,12,3727
71,2020,8552,186,-80,106,9488
72,2020,5464,25,-39,-14,5419
73,2020,14832,147,-128,19,14766
74,2020,1102,24,-21,3,1042
75,2020,6145,39,-68,-29,6189
78,2020,1679,34,-21,13,1639
79,2020,8144,138,-175,-37,8111
81,2020,671,18,-9,9,635
82,2020,4140,114,-64,50,3831
83,2020,6431,43,-115,-72,6425
84,2020,474,1,-4,-3,381
85,2020,1290,42,-22,20,1205
87,2020,151,15,-7,8,168
91,2020,3479,93,-54,39,3581
92,2020,373,2,-1,1,370
93,2020,6228,35,-47,-12,6439
