Abbrev,District,SD05,SD06,SD08,SD10,SD19,SD20,SD22,SD23,SD27,SD28,SD33,SD34,SD35,SD36,SD37,SD38,SD39,SD40,SD41,SD42,SD43,SD44,SD45,SD46,SD47,SD48,SD49,SD50,SD51,SD52,SD53,SD54,SD57,SD58,SD59,SD60,SD61,SD62,SD63,SD64,SD67,SD68,SD69,SD70,SD71,SD72,SD73,SD74,SD75,SD78,SD79,SD81,SD82,SD83,SD84,SD85,SD87,SD91,SD92,SD93,total_move_in,total_move_out
SD33,Chilliwack,2,3,0.75,1,0,2,6,9,1.875,2,0,154.25,64.5,125.6875,14,2.875,26.25,4,9.875,15.125,18,10,2,3.25,0,11.125,0,0,1,1,0,0,7,1,3,10.125,0,4.125,0,0,1,1,3,1,1,7,9,2,27,30,0,0,3,9,0,2,0,7,0,14.75,633.5550701,465.3071432
SD34,Abbotsford,0,0,1.5,0,0,0,3,12,5,1,71.75,0,105.875,174.375,18.875,1,18,8,13,23.375,10,4,1,1,3,1,0,0,1,1,1,0,2.25,1,4,3.6875,2,0,2,0,9.125,3,3,2,1,1,12,0,102.875,15,2,0,1,3.125,0,0,0,2.25,2,9,663.0547242,614.6177922
SD35,Langley,0,0,0,0,0,0,1,5,3,0,27.1875,77.875,0,337.25,24,20,36.25,17,58,26.125,55.125,10,2,4.125,2,2,0,0,3,1,4.25,0,4.875,2,0,4.1875,2.25,2,4,0,6,2,0,0,7,0,5,0,11.125,0,3,0,2,3,0,0,0,2,0,8,784.6157986,726.2414831
SD36,Surrey,5,3,0,0,0,4,10.125,9,6,2,34.5,67.125,202.75,0,175.125,97.5,206.125,63,183.875,38,88.125,14,7,4.25,6,1,0,1,1,1.125,8,0,7,3,4,0,18.125,10,2,2,11.25,9,3.125,6,6,3,15.125,3,11.875,5,3.125,1,4.75,4,0,2,0,4.25,1,18.75,1396.983617,1821.666137
SD37,Delta,1,0,1,0,0,1,3,10,0,1,3,9.125,15,276.4375,0,56,59.625,11,24,6,15,6.75,4,0,1,2.25,0,0,0,1,0,0,7,0,2,0,0,3,1,0,0,4,0,1,1,0,5,0,4,0,4.125,0,0,0,0,0,0,1,0,12.25,552.55602,531.24377
SD38,Richmond,0,0,0,0,0,0,0,1,0,0,5.5,3,6,55.625,26.25,0,109,18,28.875,3,17,1.125,1,1,1,0,0,0,0,1,0,0,1,0,0,0,4,1,1,1.125,0,3,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,2,2,22,319.4962531,486.4942948
SD39,Vancouver,1,0,3,0,0,0,1,9,1,1,9,7,11.875,112.5,16.5,125.25,0,29.875,162.75,10,45.75,22.75,30.75,9,1.875,6.125,1,1,0,7,2.125,2,8.875,0,1,0,14.5,2.125,0.25,18.875,1,11,0,8,3.25,1,2,1,4,0,3,0,7,0,0,1,0,7.125,3,37,765.1160273,1217.173226
SD40,New Westminster,0,0,0,0,0,0,1,0,0,0,1,4,1,23,3,19,47,0,78.75,3,17,4,7,1,2,0,0,2,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0,11,5,3,0,3,0,0,0,3,4,0,0,0,2,0,4,252.747036,411.8701699
SD41,Burnaby,0,0,0,0,1,2,2,2,1.875,0,10,10,13.125,79.625,10,27.625,195.0625,79.75,0,10.5,71.9375,19.6875,7.8125,0,1.625,7,0,0,0,4,2,0,2,1,0,2,8.25,1.625,1,4,1.75,3,0.5,1,5,3,2,0,0,3,0,0,4,0,0,3.25,0,0,2,17,623.9926823,941.6139575
SD42,Maple Ridge - Pitt Meadows,0,1,1,0,0,1,1,6,4,1,12.375,5,25,72.5,6,8.375,20.1875,12,35.625,0,154,10,2,0,1,0,0,0,0,0,3,0,3,1,0,1,2,0,1,0,0,2,2,0,1,0,1,0,24.25,1,1,0,0,0,0,0,0,0.375,0,5,427.6824844,400.6203018
SD43,Coquitlam,0.25,1,0,0,1,1.25,3,5.25,0,0,11.375,16.375,19.875,72.25,10,13,71.25,39,187.25,78.625,0,39.125,13,3.125,0,2,0,5,2,1,1,2,1,1,1,3.9375,5,0,1,1,3,7,1,0,3.375,3,4,1,8,0,0,0,4,1,0,0,0,0,0,25.75,674.0545952,741.5538036
SD44,North Vancouver,0,0,0,0,0,0,0,8,1,0,4.125,2,3.5,15,1,5,53.25,11,9,0,21.875,0,56.9375,8,1,17,0,0,0,1,0,0,1,0,0,0,3,0,0,0,0,0,0,0,5.375,0,2,1,1,0,0,0,0,1,0,1,0,0.625,0,50,284.6841614,357.4333083
SD45,West Vancouver,0,0,0,0,0,1,0,4,0,0,1,7,3,9,2.75,9,51.125,12,23.125,3,9,104.125,0,6.125,1,12,0,0,0,0,0,0,0,0,0,0,3,0,1,0,1,2,1,0,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,15,285.2466548,187.7477982
SD46,Sunshine Coast,1,0,0,0,0,0,0,3,1,0,5,0,3,9,0,2,12,0,2,2,1,13.125,3,0,6,8,0,2,0,0,2.125,2,0,0,0,0,3,1,0,2,1,1,2,0,0.125,1,5,0,0,7,2,0,0,0,0,0,0,5,0,8,115.373647,85.24900027
SD47,Powell River,0,0,0,0,0,0,0,0,0,1,0,1,6.5,5,1,2,0.875,0,4,1,3.375,0,0,8,0,2.125,0,0,0,0,0,0,2,2,0,0,3,1,2,2,0,3,1,0,42.9375,3,0,0,0,0,0,0,2,2.875,0,2.125,0,0,0,25.125,129.9359762,90.37394017
SD48,Sea to Sky,0,1,2,0,0,0,0,0,1,0,5,1,1,4.875,3,4,17,0,4,1,8,11,11.125,0,1,0,0,0,0,0,0,0,0,0,0,2,1,0,2,0,1.125,2.125,0,0,5,1,3,1,1,0,0,0,0,0,0,0,0,0,0,24,119.2486015,165.7480562
SD49,Central Coast,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,7.999906184,8.999894457
SD50,Haida Gwaii - Queen Charlotte,0,0,1,0,0,0,0,0,0,0,3,0,0,0,0,0,1,0,0,0,2,0,0,0,3,0,0,0,0,3,0,1,1,0,1,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,22.99973028,35.99957783
SD51,Boundary,1,1,0,3,0,4,2,12,1,0,0,3,0,4,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,4,0,0,0,0,8.125,0,0,0,0,3,1,0,1,0,0,6,0,1.125,1,1,0,1,0,0,0,0,0.125,0,0,62.37426852,67.99920256
SD52,Prince Rupert,0,0,0,0,0,2.5,1,0,0,3,1.0625,0,0,5.125,0,0,2,0,1,0,0,0,0,0,0,0,0,8,0,0,0,2,12,0,0,2,2,0,0,0,0,0,0,0,2,0,3,1,4,0,0,0,9.125,2,0,0,0,0,3,0,65.81172821,87.49897388
SD53,Okanagan Similkameen,0,0,0,0,0,0,3,18.25,4,0,8.0938,1,3,5.25,3,0,1.75,1,2,5,1,4,0,0,0,1,0,1,3,0,0,3,3,10.875,0,0,2,2.125,0,0,41,0,0,0,2,0,4,1,2,0,0,0,0.875,1,0,0,1,4,0,1,144.2171087,103.9987804
SD54,Bulkley Valley,1,0,0,0,0,0,0,1,0.75,0,2,1,1,6,3,1,1,0,0,4,2,0,0,2,0,0,0,1,0,0,0,0,13.875,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,2,0,3,0,11,2,0,0,7,11,0,0,81.62404278,73.12414246
SD57,Prince George,5,1,2,2,1.5,4.125,5,22.875,23.875,19,11,10,9.5,22,4,0,3,0,5,8,10,2,0,1,0,1,0,1,0,17,2,11,0,1,13.125,14.875,7,6,0,0,8.125,7,2,6,5.25,1,21,0,7,2,1,2,17,6,1,1,3,49.25,3,9,397.4953385,323.9962004
SD58,Nicola - Similkameen,2,0,1,0,1.125,3.5,4.25,14.375,7,2.125,5,8,3.75,8.25,2.875,4.375,8.625,1,0,2,3,2.8125,0,1,0,5.375,0,0,2,1,2.125,0,6,0,2,2,3,2.125,0,0,9.0625,0,2,1,0,1,25.625,4.625,7,1,0,1,2,2.25,0,0,1,5,0,0,174.2479565,98.12384928
SD59,Peace River South,3,0,2,0,0,0,2,2,5,1.75,2,0,2,7,0,0,0,0,0,0,3,0,0,0,0,3.125,0,0,4,0,0,0,15,1.25,0,15.0625,0,0,0,0,0,0,1,5,0,0,8.125,0,2,0,3,5,0,4,0,0,1,2,0,0,99.31133535,127.3735063
SD60,Peace River North,2,0,2,0,0,0,2,4,3,9.125,1.1875,7,0,7,0,0.25,0,1,3,2,13.75,0,0,0,2,1,0,0,1,0,0,0,8,0,18.375,0,0,0,0,0,1,5.875,0,1,3.125,3,5,0,0,4,3,15.125,5,3,0,0,1,1,0,0,138.8108721,176.935425
SD61,Greater Victoria,0,3,3,0,0,1.125,0,5.9375,3,0,1,1.125,3,19.375,11.125,5,38,3.125,9,2,6,5,5,1,1,2,0,3,2,0.875,2,1,4,2,6,0,0,111.125,92.875,13.25,6,13,1,10.125,11.0625,3.875,7.125,0,0,1,26.125,0,4,4,1,5.125,0,1,0,31.5,492.86922,670.8674326
SD62,Sooke,3,0,1,0,0,1,4,5,3,0,6.0938,2,5,11.125,7,2,5.875,2,4,3.125,9.75,7.375,2,0,0,3,0,0,1,1,0,0,4,0,3.125,3,153.3125,0,42.875,4.125,1.125,18.875,5,4,16,11.875,5,0,0,1,33.875,0,1,0,0,1,0,4,3,11.125,416.6514138,315.6212986
SD63,Saanich,1,0,3.125,0,0,0,1,4,1.375,0,1,1,1,7.25,6.625,4.875,8.625,0,2,2.375,6,4.75,4.25,0,1,0,0,0,0,0,0,1.125,3.125,1,3,0.375,294.9378,53.375,0,6.625,1,3,0.375,4,5,0,1,0,0,2,30.5,0,2,4,0,7.25,0,1.125,0,7,493.0570178,218.122442
SD64,Gulf Islands,0,0,1,0,0,0,0,0,0,1,1,0,0,3,1,0,19,17,2,3,2,1,0,0,3,0,0,2,0,0,0,0,0,0,0,1,6,1,4.875,0,0,1,0,2,23,0,1,0,0,0,13.25,0,0,1,0,0,0,1,0,3,114.1236617,90.1239431
SD67,Okanagan Skaha,2,3.125,5,0,0,0,3.75,42,13,1,4.0625,2,8,15,1.75,2,5,0,5,5,10,2,2,2,0,2,0,0,1,3,28,2,5,7.125,0,10,2,2,0,0,0,2,0,2,1,4,22,1,2,2,1,0,1,2,0,1,0,3,0,8,247.8095939,206.5600776
SD68,Nanaimo - Ladysmith,3,1,0.375,1,0,0,5,14,2,1,2.0625,8.125,14.125,21,10.625,1,9,3,19.125,7,16,14.375,2,4.125,5,3,0,0,2,2.875,0,0,5.625,1,6,4,19,6.875,6.125,1.875,1,0,34.25,24.625,46.8125,18.125,3,0,4,0,49.125,0.875,5,1,10,4,0,2,0,10.125,436.244884,387.8704514
SD69,Qualicum,0,1,1,0,1,0,1,0,0,0,3.1875,1,2,6,10,1,8,0,0,6,0,5,0,3,1,2,1,0,0,2.125,0.125,1,1,0,1,0,4.875,4,5,3.625,4,42.25,0,12,15,2.875,2,0,3,0,5.375,0,2,1,1,1,0,0,0,3,170.4355013,122.9985576
SD70,Alberni,1,1,0,0,0,1,2,0,0,1,3,3,2,7,0,0,3,0,2,2,5,0,0,2,2,2,0,2,0,1,0,0,3.25,0,0,1.125,8,3,2.125,1,0,36.75,14,0,7,3,3,2,0,0,5,0,2,1,3,5,0,0,0,3,145.2482966,153.5606991
SD71,Comox Valley,1,4,11.875,0.125,0,7.5,5,13.875,2,1.25,2.1875,1.25,11.875,28.625,4,15.125,63.875,53.875,11.125,2,11.625,10.5625,8.75,11,21.5,19.375,1,2,0,0,2.375,8,4,0,1,6.4375,24.5,20,10,4,6,50.625,18.75,23.9375,0,28.25,6.625,0,5,2.125,15.625,0,2,1,4.25,10.5,0,4,0,29.75,615.1177864,364.1207299
SD72,Campbell River,0,0,2.875,0,0,1,0,0,1,2,0,6,4,12,0,2,6.0625,4,1,7,8.125,0,0,0,6,2.25,1,2,0,1,0,1,1,0,0,0,7,6,1,1.125,3,22.875,2,9,42.9375,0,7,0,6,1,2.25,0,0,2,6.75,11.125,0,4,0,10,216.3724625,157.3731545
SD73,Kamloops - Thompson,5,1,2,0,2,3,21.375,29.8125,38.875,9,44.125,46.25,21.875,38.1875,4.875,9.125,8.875,1,5,11,11,1,0,0,2,6,0,0,5,0,9.25,0,19.25,18.375,8,8.125,7,1.625,5,1,10,7,2,1,6,0,0,18.5,8,1,5,0,16.125,34.625,0,0,0,5.375,2,10,531.6187656,381.3705276
SD74,Gold Trail,0,0,0,0,0,1,2,2,4,1,1,1,0,2,0,0,1,0,2,2,0,0,0,0,0,1,0,0,0,0,0,0,0,2,1,1,1,1,0,0,2,0,0,0,0,0,17.125,0,0,0,2,0,0,0,0,0,0,2,0,1,50.12441218,52.99937847
SD75,Mission Public,2,0,0,0,0,1.25,3,1,0,0,17.0625,63.5,24,25,5,0,7.125,4.25,4,52.25,14.875,0,0,2,0,2,0,1,0,0,0,3,0,0,1,3,0,2,1,0,0,0,0,0,0,0,1,1,0,3,0,1,0,2,0,0,0,4.25,0,5,256.5594913,293.2465611
SD78,Fraser - Cascade,0,0,1,0,0,0,0,2,0,0,62.9375,14,9,7,3,1,2,1,0,2,3,0,0,0,0,4,0,0,0,0,0,0,2,2,3,2,0,0,0,0,0,3,0,0,1,0,3,3,4,0,0,0,0,0,0,0,0,0,0,0,134.9359176,98.12384928
SD79,Cowichan Valley,0,0,2.875,0,0,2,0,3,4,3,2.0625,9,6,9,3.875,2,6,1,2,4,3,4.25,0,0,3,5,0,0,0,0,1,0,4,2,0,0,31.125,36,16,11.25,5.125,37,5,5,30,2,3,0,0,2,0,0,5,1,2,4,0,3,0,1.375,281.9341937,243.7471415
SD81,Fort Nelson,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,7.9375,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.93730137,26.99968337
SD82,Coast Mountains,1,0,0,0,0,0,1.75,3.125,3,1,2,2,0,5,0,0,3,0,4,0,0,1,1,0,2,0,0,2,2,24.125,0,16,20.625,0,1,3,1,2,2.25,0,0,1,1,1,2,0,10,0,1,1,3,0,0,1,0,0,14,6,20,5,169.8730079,173.7479624
SD83,Okanagan - Shuswap,4,1,5,4,15.125,2,68.75,21,3.125,2,8,4.125,12,10,1,1,2.625,1,1,5,9,1,0,1,0,3,0,0,2,0,7,0,12,3.125,8,22.375,2,1,0,0,3.125,3,0,1,2,0,42,1.875,7,0,2,0,1,0,0,0,0,3,0,0,309.2463734,196.9664901
SD84,Vancouver Island West,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,4,0,0,0,40.625,5,4,4,6.125,0,0,0,0,1,0,0,0,0,0,3,0,0,0,70.74917031,30.24964526
SD85,Vancouver Island North,1,0,0,0,0,0,0,0,1,0,2.0625,0,1,2,0,0,1,0,0,2,0,0,0,0,0.25,0,2,0,0,0,0,1,0,0,1,0,1,2,0,0,0,5,4,3,11,16,0,0,0,0,2,0,0,0,1.25,0,0,2.375,0,0,61.93677366,69.62418351
SD87,Stikine,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,0,0,0,6.999917911,30.99963646
SD91,Nechako Lakes,1,2,5.625,1,1,4.125,12.25,19.625,11,6.625,15.0625,6.5,8.5,29.375,100.375,17.25,28.75,2,5.25,11.125,3.125,3.9375,5.125,0,0,2,0,0,5,2.375,1,5.875,62.375,7.125,1,4,3,5.125,5.375,4.25,2,5,0,0.875,4,5.25,8.75,0,1,1,7.125,1,8.125,2,0,0.125,0,0,0,1.875,457.2446378,179.497895
SD92,Nisga'a,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,3,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.75,0,0,0,0,0,0,0,26.7496863,42.99949574
SD93,Conseil Scolaire Francophone,0,0,1,0,0,0,2,4,0,0,0,3.25,4,9,4,0,19.125,2,7,1,7,2,1,0,1,5,0,0,0,0,0,0,5,0,0,0,4,2,0,0,2,4,0,3,5,11,3,1,1,0,0,0,4,2,0,0,0,0,0,0,119.3736001,484.3693197
