Abbrev,District,SD05,SD06,SD08,SD10,SD19,SD20,SD22,SD23,SD27,SD28,SD33,SD34,SD35,SD36,SD37,SD38,SD39,SD40,SD41,SD42,SD43,SD44,SD45,SD46,SD47,SD48,SD49,SD50,SD51,SD52,SD53,SD54,SD57,SD58,SD59,SD60,SD61,SD62,SD63,SD64,SD67,SD68,SD69,SD70,SD71,SD72,SD73,SD74,SD75,SD78,SD79,SD81,SD82,SD83,SD84,SD85,SD87,SD91,SD92,SD93,total_move_in,total_move_out
SD05,Southeast Kootenay,0,23.25,14.25,1,0.875,7.125,1,10,2,1,1,1,0,3,1,0,1,0,0,6,0,0,0,0,3,0,0,0,2,0,0,4.125,1,1,3,0,2,0,1,1,0,0,0,0,0,1,1,0,1,0,0,0,1,1,0,0,0,6.125,0,3,105.7487599,125.1235327
SD06,Rocky Mountain,34.875,0,12.875,0,1,5,5,2,2,0,1,0,3,2,1.25,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,2,2,1,2,1,0,0,0,0,0,1,2,1,4,5.25,0,3,1,1,0,1,0,0,3.875,0,0,0,2,0,1,106.1237555,72.49914978
SD08,Kootenay Lake,16,11,0,4,2,35.25,1.625,6,0,1,0,0,0.875,11.375,0.875,0.875,4,2,0,1,6,2,0,3,0,4,0,0,3,0,0,0,4,0,2,2.0625,5,0,0,2,1.125,1,2,1,3.125,1,3,0,2,0,1,0,1,3,0,0,0,1,0,10,161.1856097,158.6231398
SD10,Arrow Lakes,0,0,3,0,0,2,2,6,0,0,2,0,2,0,0,0,0,0,1,0,2,0,0,0,1,0,0,0,0,0,1.25,0,0,0,1,1,0,0,0,0,2,0,0,0,0,0,4,0,0,0,0,0,1,0,0,0,0,0.125,0,0,31.37463206,21.49974787
SD19,Revelstoke,0,0,0,2.375,0,0,0,2.25,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,1,0,0,1,2,0,1,0,0,1,1.125,0,0,2,0,0,0,0,0,5,25.74969803,34.74959249
SD20,Kootenay - Columbia,11.25,1.125,50.25,1,0,0,1,12,0,3,0,2,4,6,4,0,0,1,2,2,1,0.625,0,0,2.125,1,0,0,7,0,0,0,2,0,0,2,1,3,0,0,7.125,1,1,0,4,1,1,0,1,1,1,0,1,2,0,0,0,0,0,4,145.4982937,107.8737349
SD22,Vernon,5,2,1,1,4.125,0,0,47.75,6,4.125,5.125,2.5,12,15.375,6,6,3,1,0,3,7,8,3,2.25,0,6,0,0,2,0,5,1,4,3.375,8.375,1,0,1.125,0.375,1,12,1,0,0,3,2,24,3,2,0,2,0,1,55.9688,0,1,0,3,0,2,290.4653936,244.8721283
SD23,Central Okanagan,5.75,7,6,0,3,5.125,44,0,10,1,17.125,23.125,50.75,53.125,18.5,13,17.875,2,7,7,23,4.0625,5,0,1,5,0,0,15,4,12.375,1,13.75,11.875,5.375,9.125,5,4,2,1,35.5,11.875,0,1,3,0,22.75,3,5,0,3.125,0,6,16.25,0,0,0,6,1,13,541.4311505,433.1199207
SD27,Cariboo - Chilcotin,3,0,1.25,0,0,2,2,14,0,13,18,10,8,15.125,1,3,1,3,0,4,3.125,0,0,1,0,2,3,0,1,2,1,2,26.125,9,4,8.375,0,1,2,1,2,1,2,0,3.5,1,19.125,2,12,9,1,0,8,4,0,0,0,5.125,1,0,235.7472353,193.4977308
SD28,Quesnel,0,0,6,0,0,0,4,3,12.75,0,8,6.125,6,11,0,1,0,0,3,4,3,1,0,0,1,1,0,0,0,0,0,0,7,0,1,6,0,5.25,0,0,0,3,3,3,0,1,8,0,3,0,0,0,1,0,0,5.125,0,4,0,0,121.2485781,96.99886247
